Time (sec)	Fluid Temperature (C)	Flowrate (GPM)	"Pressure Drop (large pipe, (""WC)"	"Pressure Drop (small pipe, (""WC))"	Ambient Temperature (C)	Ambient Pressure (kPa)	Flow Setpoint (GPM)	Control Output (%)
449493.0027	25.836486	20.590906	12.543348	0.361963	21.58756	85.766235	20.5	64.118133
449494.0449	25.816573	20.5871	12.533215	0.352146	21.563128	85.773534	20.5	64.088655
449494.412	25.757755	20.574326	12.545313	0.356244	21.500194	85.769638	20.5	64.091337
449497.085	25.869123	20.550496	12.532181	0.360696	21.624072	85.766644	20.5	64.061433
449497.346	25.845523	20.518662	12.541932	0.354326	21.624072	85.766644	20.5	64.090259
449501.435	25.926646	20.462076	12.470239	0.333837	21.473539	85.760731	20.5	64.178249
449502.191	25.824503	20.434005	12.475603	0.321096	21.524628	85.762785	20.5	64.219519
449503.2702	25.835197	20.415866	12.435594	0.31562	21.526108	85.767779	20.5	64.265471
449504.9171	25.794264	20.463601	12.417535	0.323629	21.458125	85.761902	20.5	64.24732
449505.1881	25.74909	20.475822	12.426458	0.310572	21.595334	85.761753	20.5	64.238319
449507.2684	25.893091	20.505134	12.399561	0.316793	21.500194	85.765779	20.5	64.222802
449507.6793	25.810308	20.508344	12.38533	0.31046	21.487372	85.763501	20.5	64.218631
449509.164	25.777487	20.515904	12.386066	0.299266	21.561412	85.767072	20.5	64.20493
449511.0838	25.773244	20.523909	12.326396	0.297478	21.496998	85.767537	20.5	64.177387
449511.64	25.805149	20.514379	12.304268	0.293417	21.627909	85.767853	20.5	64.18354
449513.3521	25.72383	20.434156	12.293269	0.285129	21.505278	85.766579	20.5	64.267091
449514.182	25.833909	20.476342	12.282317	0.27887	21.488853	85.769954	20.5	64.235299
449515.984	25.86212	20.445521	12.312045	0.281087	21.603243	85.763864	20.5	64.283122
449516.7031	25.761998	20.444926	12.30289	0.276672	21.598801	85.764078	20.5	64.296452
449518.524	25.726963	20.440517	12.3254	0.268309	21.545494	85.774027	20.5	64.33573
449518.812	25.800351	20.450752	12.322699	0.262665	21.490469	85.77134	20.5	64.327566
449520.824	25.805145	20.471832	12.349419	0.265701	21.583894	85.764933	20.5	64.332196
449522.226	25.720879	20.476627	12.365009	0.247578	21.524393	85.762339	20.5	64.336158
449524.3511	25.756652	20.436746	12.383691	0.216937	21.56636	85.765687	20.5	64.404448
449524.9021	25.798693	20.443753	12.364962	0.208816	21.555254	85.764971	20.5	64.408651
449526.282	25.756652	20.435991	12.395165	0.203768	21.590286	85.770317	20.5	64.441832
449526.8582	25.668691	20.433485	12.394085	0.214907	21.631141	85.767314	20.5	64.457255
449528.3043	25.803856	20.458262	12.37638	0.217663	21.458261	85.769694	20.5	64.458035
449529.9312	25.747801	20.426729	12.401433	0.216043	21.449375	85.76856	20.5	64.514727
449531.4644	25.71664	20.391257	12.351589	0.200844	21.53725	85.775719	20.5	64.594876
449531.744	25.765134	20.385457	12.350937	0.210362	21.542063	85.774604	20.5	64.611032
449534.374	25.79058	20.399966	12.326108	0.220066	21.580933	85.768383	20.5	64.686562
449534.633	25.72051	20.399077	12.305265	0.209133	21.585745	85.769025	20.5	64.696293
449536.706	25.615028	20.440903	12.247625	0.193896	21.471859	85.766672	20.5	64.705862
449537.136	25.824507	20.429001	12.264938	0.203768	21.556871	85.77134	20.5	64.727252
449538.682	25.737844	20.453618	12.263551	0.207996	21.555155	85.770447	20.5	64.73857
449540.0691	25.695063	20.45853	12.279486	0.216248	21.537386	85.766784	20.5	64.75033
