Time (sec)	Fluid Temperature (C)	Flowrate (GPM)	"Pressure Drop (large pipe, (""WC)"	"Pressure Drop (small pipe, (""WC))"	Ambient Temperature (C)	Ambient Pressure (kPa)	Flow Setpoint (GPM)	Control Output (%)
624205.8257	23.267844	10.525447	-0.118662	31.838524	20.926668	85.176312	10.4	42.037208
624206.427	23.330657	10.514039	-0.104124	31.826435	20.925071	85.178274	10.4	42.024511
624208.0901	23.317721	10.487913	-0.090918	31.80047	20.984332	85.17555	10.4	41.996943
624208.528	23.215899	10.48777	-0.082806	31.762528	20.907292	85.176145	10.4	41.984767
624210.919	23.371879	10.507945	-0.074443	31.731869	20.989517	85.172091	10.4	41.89632
624211.356	23.237708	10.501173	-0.067719	31.761596	20.862473	85.172593	10.4	41.888308
624212.4277	23.295913	10.487016	-0.03082	31.708325	20.986184	85.168	10.4	41.869254
624214.414	23.272257	10.458241	0.000659	31.687854	20.917038	85.175606	10.4	41.84824
624215.9991	23.258212	10.4555	0.002884	31.644864	20.958776	85.175336	10.4	41.822408
624216.869	23.270236	10.447453	-0.003327	31.674816	20.985072	85.17449	10.4	41.815306
624218.09	23.264669	10.449943	-0.008003	31.668986	20.952479	85.178442	10.4	41.790452
624220.8581	23.180586	10.469405	-0.02038	31.627709	20.928404	85.176889	10.4	41.728401
624221.156	23.189828	10.483923	-0.023705	31.634583	20.907292	85.174443	10.4	41.706535
624223.2551	23.172084	10.506043	-0.023668	31.598596	20.947548	85.179065	10.4	41.618774
624223.6151	23.303675	10.484728	-0.030122	31.636892	20.869394	85.176154	10.4	41.628843
624224.6031	23.268365	10.482615	-0.037609	31.63963	20.895926	85.180459	10.4	41.60346
624226.911	23.306436	10.5044	-0.046941	31.629293	20.882104	85.172109	10.4	41.504136
624228.476	23.076142	10.470336	-0.027113	31.625437	20.916922	85.176573	10.4	41.494377
624228.9311	23.397554	10.459641	-0.019458	31.580584	20.931738	85.169218	10.4	41.494645
624230.9941	23.09815	10.47047	-0.003076	31.564845	20.878771	85.170789	10.4	41.436786
624232.518	23.32933	10.472549	0.004924	31.527704	20.913959	85.168967	10.4	41.397299
624232.976	23.141945	10.48321	0.007103	31.535155	20.90273	85.171338	10.4	41.374162
624234.8561	23.252471	10.424395	0.013977	31.466926	20.891364	85.175085	10.4	41.388776
624235.296	23.323612	10.39365	0.020673	31.462288	20.980998	85.171644	10.4	41.418475
624237.336	23.169474	10.339276	0.019071	31.451671	20.911112	85.174759	10.4	41.493025
624237.616	23.110893	10.330928	0.017935	31.456532	20.846174	85.175699	10.4	41.507462
624239.2481	23.324351	10.332169	0.009953	31.425426	20.965443	85.17422	10.4	41.54717
624240.8501	23.179085	10.352763	-0.015761	31.427643	20.989517	85.170668	10.4	41.562769
624242.5172	23.310676	10.32154	-0.042294	31.440774	20.974332	85.17237	10.4	41.623915
624242.822	23.120678	10.316561	-0.04099	31.455359	21.021622	85.173123	10.4	41.637109
624244.9431	23.175389	10.294467	-0.04208	31.480393	20.942595	85.171747	10.4	41.728507
624245.24	23.30624	10.289647	-0.040878	31.44232	20.852588	85.167823	10.4	41.743938
624246.594	23.350224	10.318556	-0.041828	31.485999	20.839507	85.170659	10.4	41.757952
624247.1773	23.104042	10.300376	-0.041828	31.490544	20.846291	85.174685	10.4	41.792785
624249.86	23.170953	10.309747	-0.06472	31.511555	20.934817	85.169115	10.4	41.87388
624251.146	23.345419	10.3233	-0.079389	31.514181	20.949262	85.171803	10.4	41.893821
624251.664	23.271126	10.328791	-0.073773	31.565516	20.913821	85.177344	10.4	41.90143
624253.4101	23.200895	10.352411	-0.087426	31.548696	20.926785	85.173086	10.4	41.911894
624254.008	23.167256	10.376928	-0.097773	31.563392	20.954194	85.173309	10.4	41.893193
624255.05	23.256885	10.38427	-0.114714	31.570973	20.939749	85.168771	10.4	41.892844
624257.5922	23.218638	10.367138	-0.121764	31.624617	20.768363	85.177633	10.4	41.929483
624258.3291	23.318068	10.375369	-0.123254	31.621749	20.920118	85.174806	10.4	41.927737
624258.709	23.186305	10.375604	-0.114201	31.584813	20.907271	85.172333	10.4	41.930273
624259.715	23.343941	10.372972	-0.09808	31.591928	20.894677	85.171207	10.4	41.94249
624263.078	23.354289	10.417412	-0.077312	31.646653	20.852937	85.170315	10.4	41.904809
624264.146	23.321025	10.411067	-0.073223	31.606568	20.775772	85.172723	10.4	41.903508
624264.4181	23.31585	10.405384	-0.072515	31.596491	20.736251	85.176591	10.4	41.908477
624267.4069	23.373508	10.416532	-0.065037	31.618191	20.878242	85.169311	10.4	41.883929
624267.856	23.361312	10.426348	-0.072134	31.581888	20.926648	85.173923	10.4	41.871426
624269.736	23.376835	10.416625	-0.077917	31.649353	20.886391	85.170343	10.4	41.864705
624270.812	23.250057	10.407706	-0.079398	31.647137	20.868611	85.173699	10.4	41.867785
624272.5481	23.387922	10.404303	-0.099356	31.608506	20.780704	85.16972	10.4	41.87192
624273.4641	23.313067	10.408813	-0.105866	31.623388	20.753779	85.168827	10.4	41.866047
624274.7984	23.347637	10.391085	-0.113773	31.567211	20.82576	85.164466	10.4	41.884879
624275.604	23.326026	10.391747	-0.121978	31.570321	20.880094	85.165694	10.4	41.886751
624276.283	23.298283	10.418904	-0.115617	31.5858	20.84625	85.171923	10.4	41.85799
624278.362	23.41712	10.423246	-0.109936	31.633521	20.80328	85.173253	10.4	41.836757
624278.6291	23.2436	10.429734	-0.11314	31.596491	20.818722	85.174462	10.4	41.828517
624279.6661	23.376661	10.419407	-0.096897	31.587216	20.689923	85.174592	10.4	41.830495
624281.957	23.392727	10.430983	-0.086867	31.62825	20.68226	85.174415	10.4	41.798039
624282.266	23.373335	10.440119	-0.08778	31.609549	20.748943	85.172416	10.4	41.785786
624284.21	23.348376	10.428627	-0.11205	31.589171	20.71683	85.1725	10.4	41.769744
624285.71	23.438012	10.428116	-0.106248	31.619812	20.793883	85.173086	10.4	41.755535
624286.668	23.39738	10.429533	-0.088711	31.606568	20.7009	85.177828	10.4	41.745879
624287.565	23.382401	10.443723	-0.078895	31.565329	20.769668	85.174852	10.4	41.724535
624288.763	23.334896	10.445584	-0.063668	31.574177	20.745589	85.168874	10.4	41.708373
624290.1221	23.424903	10.421335	-0.051225	31.561809	20.824121	85.165861	10.4	41.718388
624291.962	23.370204	10.436154	-0.041381	31.601632	20.83227	85.173792	10.4	41.689497
624292.736	23.332331	10.450471	-0.041223	31.604948	20.727924	85.176015	10.4	41.663633
624294.792	23.424903	10.480076	-0.053637	31.599453	20.813983	85.176907	10.4	41.586999
624295.0621	23.405489	10.481056	-0.056348	31.617521	20.764598	85.174583	10.4	41.578955
624297.1664	23.371879	10.445198	-0.05509	31.563541	20.782867	85.172193	10.4	41.577308
624298.998	23.285586	10.478206	-0.050331	31.582391	20.79669	85.168548	10.4	41.50704
624299.554	23.441164	10.47964	-0.038792	31.59217	20.742606	85.168725	10.4	41.49109
624301.8649	23.252493	10.4584	0.021185	31.553539	20.788911	85.175038	10.4	41.448003
624303.2271	23.25619	10.423825	0.052924	31.541283	20.832115	85.174722	10.4	41.464661
624304.1421	23.303306	10.427152	0.064315	31.56397	20.849407	85.170631	10.4	41.454207
624306.1251	23.360052	10.49989	0.038582	31.525655	20.714568	85.172453	10.4	41.337046
624307.476	23.241774	10.475792	0.034019	31.554284	20.817668	85.172109	10.4	41.316911
624307.802	23.307567	10.472482	0.029045	31.484248	20.844826	85.172956	10.4	41.312289
624310.116	23.291674	10.392753	-0.000524	31.457836	20.774698	85.174239	10.4	41.376468
624310.509	23.257668	10.389953	-0.014187	31.432225	20.785675	85.174322	10.4	41.379828
624311.8371	23.290565	10.353676	-0.04072	31.383666	20.754929	85.172416	10.4	41.427925
624313.2171	23.298327	10.305196	-0.055547	31.426786	20.745668	85.176312	10.4	41.506143
624314.3402	23.315873	10.280611	-0.055724	31.417435	20.729738	85.174629	10.4	41.568915
624314.875	23.256559	10.275197	-0.048282	31.370068	20.799381	85.173179	10.4	41.597135
