Time (sec)	Fluid Temperature (C)	Flowrate (GPM)	"Pressure Drop (large pipe, (""WC)"	"Pressure Drop (small pipe, (""WC))"	Ambient Temperature (C)	Ambient Pressure (kPa)	Flow Setpoint (GPM)	Control Output (%)
1053046.15	21.381523	5.951786	-0.14839	23.994217	21.446613	86.141534	6	28.82917
1053047.884	21.338754	5.96953	-0.154649	24.006343	21.382562	86.135964	6	28.841189
1053049.033	21.381153	5.968608	-0.146965	24.038287	21.431668	86.138187	6	28.854302
1053049.299	21.337833	5.980419	-0.149685	24.057323	21.48498	86.13735	6	28.845079
1053053.16	21.359308	5.929079	-0.085926	24.012601	21.284443	86.132738	6	28.957188
1053055.211	21.297104	5.922659	-0.078578	23.996732	21.390337	86.132552	6	29.0153
1053055.667	21.288218	5.931125	-0.072441	23.958659	21.474984	86.132236	6	29.018424
1053059.336	21.23989	5.954971	-0.051039	24.03391	21.548655	86.136634	6	29.052014
1053060.697	21.33394	5.971022	-0.045433	24.066059	21.495851	86.139349	6	29.051207
1053061.502	21.3469	5.965792	-0.036436	24.073417	21.480167	86.140502	6	29.063323
1053061.853	21.31876	5.97342	-0.03096	24.07459	21.524222	86.140614	6	29.059529
1053065.58	21.37726	6.016771	-0.017251	24.098376	21.527924	86.138131	6	29.022961
1053065.852	21.425021	6.019612	-0.0056	24.075838	21.420932	86.139349	6	29.018807
1053068.546	21.478703	6.032495	-0.005823	24.130153	21.460546	86.140948	6	28.968632
1053069.796	21.443162	6.033769	-0.014419	24.107522	21.358361	86.135239	6	28.953622
1053070.257	21.466856	6.036259	-0.021702	24.09087	21.436481	86.142864	6	28.945661
1053071.607	21.40799	6.041707	-0.031109	24.083326	21.548655	86.140418	6	28.925672
1053073.19	21.42298	6.031833	-0.02499	24.062558	21.398112	86.140177	6	28.917709
1053075.036	21.363931	6.011641	0.010205	24.07079	21.489423	86.135109	6	28.920086
1053075.329	21.405399	6.013753	0.014731	24.0533	21.471652	86.138187	6	28.91669
1053077.203	21.365222	6.000736	0.013911	24.023479	21.495716	86.135964	6	28.923232
1053080.015	21.341346	5.985246	-0.061377	23.975032	21.368963	86.139702	6	28.933908
1053080.413	21.341346	5.994148	-0.0677	23.95797	21.463878	86.140232	6	28.925661
1053081.875	21.259516	6.009068	-0.087798	23.942864	21.393769	86.13921	6	28.912477
1053083.708	21.366523	6.007467	-0.079789	23.952419	21.369333	86.138456	6	28.916061
1053084.871	21.396323	6.014491	-0.06703	23.963837	21.335775	86.138661	6	28.904569
1053085.303	21.295062	6.015438	-0.066313	23.955604	21.397101	86.144547	6	28.901618
1053086.989	21.425942	6.026133	-0.061665	23.960559	21.406357	86.13814	6	28.882003
1053088.513	21.271174	6.005154	-0.056832	23.98306	21.250612	86.133993	6	28.894447
1053089.116	21.440751	6.003368	-0.064692	23.976298	21.358596	86.136811	6	28.895623
1053090.852	21.346159	5.989714	-0.087854	23.977677	21.316756	86.132468	6	28.902637
1053091.612	21.486658	5.964887	-0.086653	24.004946	21.354893	86.141962	6	28.931669
1053093.417	21.369295	5.969832	-0.076669	23.950613	21.408344	86.133816	6	28.945592
1053093.699	21.378921	5.966337	-0.077777	23.95784	21.319718	86.137908	6	28.951889
1053095.801	21.379291	5.932348	-0.05808	23.901923	21.413022	86.136141	6	29.025094
1053096.501	21.34727	5.94239	-0.053218	23.924834	21.403395	86.139777	6	29.02927
1053097.653	21.390029	5.972405	-0.061079	23.913285	21.374516	86.130785	6	29.016052
1053098.388	21.445013	5.957628	-0.072255	23.901234	21.332307	86.130618	6	29.039125
1053100.685	21.454079	5.977611	-0.073726	23.905909	21.34318	86.139033	6	29.042885
1053101.56	21.442232	5.983646	-0.077777	23.939902	21.363174	86.137424	6	29.042123
1053103.268	21.400395	5.996344	-0.090201	23.945732	21.400063	86.132598	6	29.031112
1053103.553	21.388177	5.996378	-0.094932	23.958659	21.447823	86.138903	6	29.031402
1053105.766	21.510351	6.006687	-0.093843	23.954673	21.407838	86.130925	6	29.015287
1053106.043	21.468888	6.00595	-0.090797	23.98835	21.407838	86.130925	6	29.015426
1053107.234	21.391139	6.012748	-0.090164	23.992932	21.385759	86.131455	6	29.002898
1053109.116	21.458521	5.997442	-0.082583	23.956536	21.39525	86.135332	6	29.022438
1053110.428	21.390399	5.995179	-0.077237	23.945583	21.38044	86.135648	6	29.024825
1053111.684	21.419648	5.957628	-0.056674	23.896056	21.457449	86.135992	6	29.072131
1053111.957	21.432976	5.954636	-0.048813	23.9356	21.464483	86.13668	6	29.078947
1053113.89	21.50887	5.950244	0.003872	23.81328	21.438197	86.1392	6	29.114968
1053116.32	21.48962	5.952951	0.005483	23.799273	21.419316	86.139433	6	29.146858
1053116.779	21.478883	5.961232	0.003257	23.762318	21.479662	86.13827	6	29.145388
1053118.631	21.414284	5.963889	-0.017511	23.793703	21.438568	86.132375	6	29.162242
1053118.917	21.562919	5.964769	-0.018061	23.784297	21.352301	86.134886	6	29.164674
1053120.633	21.400215	5.969505	-0.023602	23.788432	21.435976	86.137647	6	29.179209
1053122.258	21.454449	5.971207	-0.029954	23.779231	21.406728	86.13881	6	29.193958
1053124.928	21.559037	5.830885	-0.013535	23.642252	21.397101	86.138242	6	29.432749
1053126.418	21.633072	5.862317	-0.023565	23.530307	21.449439	86.130757	6	29.478021
1053126.81	21.471299	5.866458	-0.031547	23.518274	21.228259	86.129465	6	29.492409
