Time (sec)	Fluid Temperature (C)	Flowrate (GPM)	"Pressure Drop (large pipe, (""WC)"	"Pressure Drop (small pipe, (""WC))"	Ambient Temperature (C)	Ambient Pressure (kPa)	Flow Setpoint (GPM)	Control Output (%)
623891.6767	23.201035	13.908819	10.610714	0.243051	20.894266	85.178627	13.8	45.695033
623892.4202	23.102879	13.937812	10.58446	0.224928	21.022905	85.178311	13.8	45.634331
623893.7785	23.178856	13.906271	10.511975	0.200434	20.98772	85.17701	13.8	45.60695
623894.613	23.203623	13.927234	10.490461	0.208313	20.931189	85.17965	13.8	45.554483
623895.8311	23.240587	13.918877	10.452203	0.213212	20.978344	85.176154	13.8	45.50649
623896.3891	23.16296	13.896472	10.461628	0.217086	21.049824	85.184857	13.8	45.509274
623898.692	23.261831	13.95699	10.441586	0.241952	21.037602	85.176442	13.8	45.340584
623901.465	23.220451	13.869885	10.500324	0.280267	20.947232	85.186122	13.8	45.350464
623901.937	23.246676	13.888233	10.510252	0.297161	20.977974	85.178934	13.8	45.320324
623904.369	23.266461	13.939136	10.435271	0.320277	20.943899	85.174322	13.8	45.175292
623905.008	23.206775	13.945003	10.425483	0.336687	20.944152	85.177456	13.8	45.138084
623905.414	23.196599	13.933336	10.421013	0.330521	20.925009	85.173467	13.8	45.13085
623907.201	23.261481	13.895341	10.431593	0.337879	20.977857	85.17833	13.8	45.103892
623908.977	23.239108	13.921492	10.389869	0.345925	20.986375	85.176154	13.8	45.015125
623909.422	23.188837	13.914803	10.380817	0.357325	20.989085	85.176322	13.8	45.003882
623911.1362	23.313598	13.829794	10.354302	0.334712	21.088964	85.183081	13.8	45.047684
623911.4286	23.169245	13.805763	10.343815	0.341436	21.030449	85.173792	13.8	45.069478
623913.3951	23.096614	13.755204	10.315438	0.301743	20.901187	85.180273	13.8	45.138234
623913.7	23.164089	13.739245	10.294548	0.304835	21.081187	85.181752	13.8	45.159789
623915.6112	23.233389	13.693303	10.317869	0.273189	20.934776	85.186884	13.8	45.263092
623916.0873	23.171657	13.683631	10.318539	0.264416	20.99082	85.181789	13.8	45.289437
623917.968	23.216016	13.649608	10.334344	0.235545	20.957486	85.179604	13.8	45.409819
623918.321	23.245042	13.662123	10.316751	0.232472	20.963412	85.18747	13.8	45.414037
623920.902	23.236171	13.794808	10.259493	0.197957	20.974777	85.17952	13.8	45.342699
623921.1664	23.13008	13.794926	10.272877	0.202688	20.941072	85.178934	13.8	45.343018
623923.9664	23.299378	13.820272	10.2834	0.200937	20.916997	85.168557	13.8	45.323313
623924.26	23.19514	13.829761	10.277198	0.213603	21.02429	85.174685	13.8	45.311383
623925.995	23.25798	13.808563	10.340519	0.217105	20.900699	85.172063	13.8	45.331434
623926.569	23.294942	13.8365	10.36043	0.229342	20.940702	85.179883	13.8	45.298653
623928.1201	23.270917	13.857857	10.396426	0.261194	20.872062	85.179697	13.8	45.243895
623929.7171	23.17372	13.845653	10.438596	0.270469	20.973666	85.177196	13.8	45.216083
623930.59	23.213448	13.834446	10.476277	0.294069	20.927992	85.180543	13.8	45.218119
