Time (sec)	Fluid Temperature (C)	Flowrate (GPM)	"Pressure Drop (large pipe, (""WC)"	"Pressure Drop (small pipe, (""WC))"	Ambient Temperature (C)	Ambient Pressure (kPa)	Flow Setpoint (GPM)	Control Output (%)
621984.1199	22.833824	12.313458	9.807904	0.263596	20.867587	85.201669	12.3	42.506477
621984.756	22.88058	12.311329	9.826726	0.264397	20.779056	85.204821	12.3	42.507809
621985.858	22.890768	12.288019	9.803788	0.265384	20.812881	85.19383	12.3	42.531708
621987.863	22.753006	12.282554	9.779099	0.238451	20.698783	85.203575	12.3	42.55434
621989.376	22.833085	12.270769	9.747424	0.246125	20.752499	85.202589	12.3	42.577141
621989.6341	22.813117	12.270702	9.727084	0.245957	20.752499	85.202589	12.3	42.579364
621991.664	22.897588	12.28532	9.693715	0.240779	20.867447	85.201353	12.3	42.583346
621991.966	22.918664	12.272202	9.708309	0.244281	20.778175	85.20563	12.3	42.598458
621995.0361	22.842329	12.30407	9.710218	0.240295	20.678153	85.205267	12.3	42.591577
621996.102	22.787972	12.307196	9.718516	0.23724	20.85152	85.201566	12.3	42.585868
621996.3957	22.826964	12.309082	9.730623	0.241133	20.911155	85.201938	12.3	42.583002
621997.864	22.969687	12.313332	9.752677	0.248397	20.758542	85.205221	12.3	42.57188
621998.999	22.861682	12.290483	9.809534	0.241114	20.85608	85.197875	12.3	42.591147
622001.897	22.880375	12.294456	9.853837	0.245473	20.736315	85.201892	12.3	42.595725
622002.4081	22.897958	12.291941	9.866298	0.251806	20.801998	85.203166	12.3	42.599043
622004.275	22.829347	12.310683	9.821427	0.238544	20.852746	85.203305	12.3	42.576598
622004.5551	22.834894	12.304925	9.832519	0.243033	20.867308	85.203063	12.3	42.582059
622006.5084	22.823061	12.317766	9.797027	0.23616	20.805332	85.198191	12.3	42.55848
622006.8181	22.941918	12.314396	9.808743	0.251843	20.862377	85.19874	12.3	42.560597
622008.3044	22.818789	12.303207	9.798703	0.246609	20.786926	85.205946	12.3	42.565211
622009.954	22.775729	12.317615	9.818438	0.26667	20.894833	85.203352	12.3	42.537825
622010.254	22.865749	12.30588	9.812514	0.262292	20.871012	85.202636	12.3	42.54851
622012.0632	22.920678	12.310205	9.834596	0.273412	20.844828	85.206253	12.3	42.540022
622012.355	22.805312	12.319518	9.855281	0.26544	20.787297	85.197224	12.3	42.529545
622015.128	22.811228	12.326458	9.856967	0.260281	20.82038	85.199986	12.3	42.494466
622015.402	22.911804	12.326064	9.857227	0.266018	20.819154	85.197689	12.3	42.492483
622017.511	22.869282	12.312133	9.844692	0.271624	20.923724	85.204551	12.3	42.493218
622019.4774	22.71841	12.317028	9.857712	0.292393	20.803086	85.210009	12.3	42.472925
622020.231	22.839661	12.326248	9.861828	0.29731	20.825311	85.199753	12.3	42.458947
622023.126	22.81583	12.29925	9.858829	0.290716	20.843207	85.200599	12.3	42.477516
622024.384	22.968743	12.29138	9.864464	0.287792	20.843092	85.206876	12.3	42.489088
622025.1377	22.921377	12.291346	9.851323	0.289934	20.737147	85.206606	12.3	42.491583
622027.5471	22.940234	12.292947	9.796896	0.266353	20.809869	85.207378	12.3	42.49192
622028.606	22.893276	12.274423	9.775336	0.269985	20.798501	85.206922	12.3	42.518372
622029.2682	22.933579	12.272864	9.752528	0.258604	20.880364	85.20934	12.3	42.526291
622030.8961	22.861477	12.263527	9.709929	0.260504	20.760231	85.213394	12.3	42.551562
622031.215	22.986246	12.269813	9.711606	0.24225	20.710335	85.207555	12.3	42.548842
622033.256	22.911394	12.260719	9.669724	0.239997	20.783684	85.202459	12.3	42.583438
622033.525	22.960939	12.258129	9.674306	0.226716	20.847883	85.203445	12.3	42.589633
622035.531	22.842784	12.27501	9.653296	0.235936	20.724899	85.210363	12.3	42.599398
622036.727	22.91805	12.274716	9.662003	0.242176	20.811582	85.207238	12.3	42.611145
622038.6662	22.957407	12.313776	9.67412	0.224984	20.852699	85.204914	12.3	42.571398
622039.791	22.873845	12.269	9.679708	0.225244	20.80466	85.211255	12.3	42.619872
622040.113	22.865914	12.26123	9.670143	0.223792	20.80466	85.211255	12.3	42.631496
622043.0041	22.90252	12.247199	9.702246	0.224667	20.728349	85.208791	12.3	42.677323
622043.2741	23.013605	12.236713	9.69555	0.226232	20.728349	85.208791	12.3	42.693003
622045.014	22.949273	12.285127	9.714204	0.213286	20.836887	85.20602	12.3	42.670048
622047.207	22.938016	12.309971	9.737282	0.215391	20.844665	85.208401	12.3	42.643894
622047.8044	22.783824	12.294422	9.747359	0.218483	20.73798	85.210902	12.3	42.658511
622049.546	23.060392	12.246553	9.752044	0.206376	20.889971	85.20603	12.3	42.727135
622049.9	22.884772	12.249244	9.743364	0.213398	20.931826	85.20907	12.3	42.730763
622051.6511	23.060187	12.234022	9.748337	0.208071	20.860709	85.209786	12.3	42.785034
622052.884	22.868668	12.237912	9.737487	0.194269	20.864043	85.213217	12.3	42.804649
622054.544	22.904534	12.302	9.718535	0.204271	20.761921	85.209963	12.3	42.761362
622054.815	22.95983	12.2934	9.710563	0.197268	20.828969	85.210009	12.3	42.770154
622057.631	22.918419	12.286736	9.666222	0.205985	20.936757	85.211385	12.3	42.793644
622059.1731	22.857205	12.27382	9.687615	0.216714	20.921941	85.205091	12.3	42.820981
622059.8656	22.879596	12.258548	9.693417	0.219303	20.867492	85.208178	12.3	42.843344
622061.194	23.062241	12.25657	9.746232	0.231149	20.891569	85.20894	12.3	42.866245
622062.017	22.881444	12.247182	9.772049	0.245566	20.775627	85.208494	12.3	42.886838
622063.513	23.013809	12.262688	9.788486	0.227405	20.817856	85.208252	12.3	42.892773
622064.229	22.976098	12.27392	9.797231	0.234334	20.894532	85.209247	12.3	42.889404
622065.799	23.067047	12.297968	9.811453	0.240518	20.889833	85.211655	12.3	42.868242
