Time (sec)	Fluid Temperature (C)	Flowrate (GPM)	"Pressure Drop (large pipe, (""WC)"	"Pressure Drop (small pipe, (""WC))"	Ambient Temperature (C)	Ambient Pressure (kPa)	Flow Setpoint (GPM)	Control Output (%)
445551.4117	24.101943	15.379197	-0.116809	38.334834	21.33049	85.830765	15.25	62.153333
445552.5681	24.037305	15.377311	-0.131198	38.3494	21.263706	85.827771	15.25	62.114652
445552.9071	24.137578	15.367681	-0.131803	38.320547	21.296795	85.830719	15.25	62.109943
445555.907	24.19611	15.3494	-0.126709	38.277856	21.257412	85.829213	15.25	62.012392
445556.325	24.195193	15.372232	-0.123878	38.31088	21.327023	85.822378	15.25	61.973798
445558.103	24.156223	15.36986	-0.136451	38.296668	21.212976	85.829343	15.25	61.90479
445558.392	24.120766	15.371285	-0.136507	38.276757	21.240614	85.826721	15.25	61.891738
445560.9418	24.159177	15.339367	-0.109787	38.237995	21.265187	85.826795	15.25	61.837336
445561.6561	24.127223	15.339484	-0.10215	38.276384	21.215569	85.833527	15.25	61.816359
445562.036	24.006812	15.349048	-0.102336	38.270256	21.215569	85.833527	15.25	61.795152
445564.17	24.080507	15.365309	-0.098648	38.252542	21.219035	85.831481	15.25	61.71093
445565.992	24.114474	15.370774	-0.099757	38.268654	21.233713	85.82766	15.25	61.626921
445566.589	24.151039	15.365066	-0.088357	38.255113	21.282457	85.825279	15.25	61.608833
445568.136	24.117238	15.354286	-0.072571	38.223112	21.327393	85.825345	15.25	61.562834
445568.699	24.180025	15.344572	-0.073177	38.184313	21.298883	85.821495	15.25	61.554148
445571.295	24.197014	15.338906	-0.089521	38.215513	21.296291	85.832328	15.25	61.47123
445571.568	24.172091	15.326785	-0.088385	38.14896	21.222368	85.829761	15.25	61.476161
445573.652	24.135145	15.324983	-0.053777	38.180905	21.344559	85.834113	15.25	61.428509
445574.446	24.191296	15.336483	-0.059589	38.162446	21.244822	85.831788	15.25	61.395717
445575.021	24.124065	15.345259	-0.057009	38.163824	21.259027	85.837497	15.25	61.369711
445576.7281	24.172256	15.360103	-0.04777	38.204952	21.369232	85.830319	15.25	61.299882
445578.417	24.224878	15.382726	-0.037591	38.199475	21.290871	85.83402	15.25	61.212164
445578.705	24.207354	15.376222	-0.033139	38.161161	21.310866	85.833527	15.25	61.205992
445581.5768	24.167455	15.35147	-0.029665	38.123107	21.226812	85.823494	15.25	61.128869
445581.9991	24.098389	15.347455	-0.025316	38.121784	21.301609	85.83176	15.25	61.118632
445583.4318	24.169862	15.327096	-0.045731	38.152201	21.234958	85.831398	15.25	61.092942
445586.651	24.204566	15.373967	-0.038541	38.093361	21.261619	85.836819	15.25	60.934424
445587.543	24.250551	15.351805	-0.027737	38.120518	21.378387	85.826014	15.25	60.921956
445591.05	24.172435	15.330071	-0.012501	38.09133	21.328772	85.822806	15.25	60.830425
445591.717	24.112972	15.326375	-0.01197	38.084755	21.447385	85.820798	15.25	60.81746
445593.542	24.137348	15.373179	-0.015956	38.024871	21.343111	85.833397	15.25	60.704933
445594.161	24.159878	15.366247	-0.017986	38.025691	21.35432	85.83071	15.25	60.686391
445596.241	24.07382	15.338503	-0.017279	38.056313	21.252126	85.826107	15.25	60.641209
445596.757	24.198478	15.321086	-0.019318	38.041784	21.31928	85.82899	15.25	60.644506
445598.5566	24.210475	15.241684	-0.04927	38.0242	21.325574	85.829017	15.25	60.697166
445600.241	24.227094	15.231232	-0.055612	37.966142	21.310629	85.828153	15.25	60.711434
445600.513	24.16948	15.210562	-0.060585	37.967837	21.310629	85.828153	15.25	60.7347
445602.302	24.159699	15.166465	-0.080869	37.947534	21.255592	85.832021	15.25	60.819412
445604.0222	24.244082	15.136189	-0.130397	37.928926	21.387911	85.828348	15.25	60.904383
445604.492	24.219529	15.123859	-0.138472	37.947106	21.232399	85.836884	15.25	60.9361
445606.0151	24.22433	15.127061	-0.119231	37.900223	21.206343	85.828636	15.25	60.999859
445607.388	24.263476	15.110909	-0.108222	37.92792	21.371991	85.827641	15.25	61.076138
445609.121	24.174103	15.101354	-0.070336	37.955488	21.330388	85.832523	15.25	61.171936
445610.1831	24.115379	15.150589	-0.089149	38.003171	21.337187	85.831044	15.25	61.168822
445610.706	24.169302	15.176825	-0.08642	37.963273	21.266701	85.830096	15.25	61.157594
445611.2421	24.305015	15.19099	-0.101405	37.966533	21.342	85.834782	15.25	61.154689
445613.801	24.311114	15.177076	-0.123841	38.002836	21.332878	85.8217	15.25	61.223095
445614.829	24.158782	15.214468	-0.127789	38.011013	21.377174	85.827055	15.25	61.20479
445615.411	24.211583	15.222313	-0.127408	37.990058	21.341764	85.822769	15.25	61.203089
445617.1203	24.281202	15.234442	-0.107216	38.049719	21.194864	85.83243	15.25	61.197588
445618.011	24.225807	15.225037	-0.0989	37.985122	21.343481	85.832504	15.25	61.212457
445618.812	24.293388	15.25134	-0.083617	38.009467	21.28067	85.833862	15.25	61.19063
445619.2711	24.256829	15.276846	-0.086029	38.026771	21.349776	85.833109	15.25	61.162728
445620.765	24.221197	15.277785	-0.090611	38.050184	21.235731	85.831398	15.25	61.143748
445622.1839	24.280833	15.286686	-0.101498	38.064452	21.265354	85.83402	15.25	61.124457
445623.53	24.224152	15.335285	-0.08168	38.107051	21.407265	85.827874	15.25	61.048183
445626.819	24.244094	15.352526	-0.050592	38.087791	21.373842	85.832123	15.25	60.941236
445627.529	24.087117	15.379591	-0.037013	38.082445	21.340149	85.829743	15.25	60.884598
445627.9401	24.161355	15.395475	-0.036557	38.092243	21.449134	85.829743	15.25	60.84969
445630.353	24.174294	15.33531	-0.004166	38.09012	21.331128	85.826023	15.25	60.825323
445630.785	24.267729	15.329509	-0.002992	38.087009	21.252764	85.830635	15.25	60.81932
445631.803	24.220089	15.357044	0.013706	38.080247	21.346443	85.831705	15.25	60.761851
445633.7	24.193868	15.377638	0.019583	38.038338	21.274611	85.828692	15.25	60.657169
445635.0574	24.185004	15.338704	0.023513	38.027181	21.287571	85.824275	15.25	60.644703
445635.437	24.159152	15.305638	0.02546	38.03601	21.34954	85.825307	15.25	60.667809
445637.703	24.161559	15.230863	0.024826	37.994361	21.419752	85.8307	15.25	60.728061
445638.0791	24.092301	15.218759	0.024743	37.998831	21.375457	85.819561	15.25	60.743325
445640.187	24.163953	15.208425	-0.009623	37.940959	21.442706	85.82514	15.25	60.776103
445640.551	24.12111	15.201677	-0.026964	37.93321	21.360647	85.828143	15.25	60.788177
445643.138	24.194607	15.156985	-0.075011	37.972102	21.250677	85.825196	15.25	60.885621
445644.0151	24.161367	15.166247	-0.084744	37.958039	21.378655	85.830775	15.25	60.90337
445644.353	24.159152	15.168585	-0.09116	37.965304	21.371991	85.829027	15.25	60.910039
445645.1621	24.26736	15.122066	-0.103854	37.959436	21.344726	85.827018	15.25	60.985281
445647.429	24.134037	15.118042	-0.125564	37.929243	21.288816	85.828506	15.25	61.082593
445649.19	24.183527	15.093123	-0.132511	37.938463	21.39434	85.82554	15.25	61.199146
445649.641	24.074572	15.111387	-0.132548	37.9697	21.387911	85.826674	15.25	61.203878
445651.438	24.140316	15.130439	-0.14025	38.016303	21.351155	85.826274	15.25	61.254432
445652.6616	24.136062	15.158619	-0.144078	37.999222	21.281411	85.825438	15.25	61.275231
445654.7641	24.143079	15.196832	-0.166802	37.994882	21.381987	85.823401	15.25	61.277734
445655.0423	24.114271	15.198978	-0.157592	37.956866	21.392489	85.827214	15.25	61.280477
445657.7082	24.123135	15.201074	-0.151659	37.962938	21.324126	85.82527	15.25	61.330878
445658.192	24.067732	15.19306	-0.153829	38.011572	21.466299	85.821848	15.25	61.347606
445660.827	24.176867	15.258431	-0.151231	38.044392	21.309551	85.830673	15.25	61.294531
445662.368	24.143818	15.248037	-0.142355	37.987078	21.391008	85.82647	15.25	61.303533
445662.919	24.203088	15.2488	-0.138136	38.054673	21.341764	85.827567	15.25	61.303223
445664.7451	24.160247	15.314464	-0.11652	38.017849	21.319313	85.830719	15.25	61.221401
445666.73	24.176497	15.307222	-0.085684	38.0459	21.278212	85.825484	15.25	61.186732
445667.0773	24.197905	15.297767	-0.076259	38.004754	21.32719	85.829296	15.25	61.190153
445667.7394	24.189971	15.285806	-0.066238	38.058455	21.30807	85.837358	15.25	61.192524
445668.84	24.198096	15.299058	-0.044883	38.018333	21.374111	85.832263	15.25	61.164091
445670.6691	24.178522	15.348562	0.006722	38.084587	21.245123	85.830989	15.25	61.070196
445671.2427	24.199574	15.348386	0.022144	38.105226	21.284373	85.828487	15.25	61.050969
445675.295	24.094313	15.390739	0.037651	38.068848	21.289557	85.822536	15.25	60.885572
445676.86	24.138992	15.372307	0.025329	38.068215	21.311403	85.836661	15.25	60.827111
445678.206	24.085997	15.333181	0.017329	38.097104	21.408779	85.82859	15.25	60.82371
445678.983	24.177224	15.309058	0.011304	38.094031	21.401879	85.827055	15.25	60.829313
445681.222	24.029663	15.357011	-0.021917	38.036531	21.269932	85.828897	15.25	60.717563
445681.989	24.180178	15.375778	-0.03801	38.024443	21.392993	85.82859	15.25	60.668581
445683.5724	24.23797	15.390697	-0.059486	37.989388	21.402249	85.829473	15.25	60.584715
445685.397	24.023014	15.305269	-0.033996	37.985606	21.355093	85.827195	15.25	60.606908
