Time (sec)	Fluid Temperature (C)	Flowrate (GPM)	"Pressure Drop (large pipe, (""WC)"	"Pressure Drop (small pipe, (""WC))"	Ambient Temperature (C)	Ambient Pressure (kPa)	Flow Setpoint (GPM)	Control Output (%)
622523.0963	22.752953	14.253634	0.031532	38.557886	20.920277	85.211795	14.1	57.463176
622524.702	22.734463	14.229904	0.03753	38.485447	20.912128	85.197577	14.1	57.408059
622525.2833	22.662552	14.194482	0.036086	38.468385	21.008797	85.199837	14.1	57.421802
622526.804	22.757021	14.191054	0.029371	38.462611	20.949421	85.20112	14.1	57.387605
622528.732	22.784923	14.159547	-0.003085	38.421987	21.023496	85.196508	14.1	57.372548
622529.37	22.735	14.172296	-0.02431	38.401684	20.887936	85.202385	14.1	57.34486
622530.194	22.768652	14.159387	-0.044399	38.374713	20.867564	85.20033	14.1	57.338524
622531.9181	22.763105	14.103044	-0.063025	38.38533	20.835338	85.196192	14.1	57.384442
622532.201	22.779376	14.110043	-0.067347	38.339248	20.958797	85.194026	14.1	57.376567
622533.9372	22.726125	14.103002	-0.076669	38.313246	20.854599	85.200618	14.1	57.379005
622535.395	22.883855	14.061068	-0.106928	38.328408	20.905715	85.192928	14.1	57.428018
622535.868	22.751844	14.050045	-0.110904	38.317362	20.8499	85.194444	14.1	57.446168
622537.688	22.771241	14.078116	-0.125116	38.312985	20.875088	85.197643	14.1	57.441922
622538.274	22.771073	14.093288	-0.12886	38.310619	20.939791	85.198247	14.1	57.428692
622540.3031	22.698962	14.033567	-0.114071	38.350312	20.905831	85.192891	14.1	57.513124
622541.4408	22.826338	14.03847	-0.10554	38.386969	20.875458	85.199307	14.1	57.535707
622541.767	22.77198	14.04816	-0.111426	38.372236	20.974723	85.194649	14.1	57.532264
622543.841	22.736647	14.088493	-0.095147	38.45395	21.130757	85.19331	14.1	57.512468
622544.4173	22.792856	14.103363	-0.083729	38.409787	20.875342	85.201315	14.1	57.498103
622546.341	22.842943	14.15637	-0.057763	38.470248	20.862124	85.20085	14.1	57.424817
622548.271	22.872929	14.192244	-0.03014	38.474067	20.929537	85.197299	14.1	57.34222
622548.514	22.844827	14.198238	-0.028669	38.47537	20.934838	85.193644	14.1	57.328581
622550.377	22.991246	14.23008	-0.02105	38.526612	20.920023	85.194565	14.1	57.227957
622552.797	22.875148	14.232754	-0.023602	38.459445	20.799893	85.199409	14.1	57.126585
622553.2011	22.88624	14.237507	-0.029749	38.454937	20.830384	85.200599	14.1	57.103629
