Time (sec)	Fluid Temperature (C)	Flowrate (GPM)	"Pressure Drop (large pipe, (""WC)"	"Pressure Drop (small pipe, (""WC))"	Ambient Temperature (C)	Ambient Pressure (kPa)	Flow Setpoint (GPM)	Control Output (%)
446035.2067	24.495823	17.52872	-0.144097	40.95552	21.394963	85.82779	17.5	75.806793
446035.909	24.61692	17.523724	-0.136032	41.001285	21.28486	85.827837	17.5	75.806004
446037.098	24.655875	17.537831	-0.127435	40.980591	21.315963	85.824898	17.5	75.777143
446038.678	24.624127	17.527814	-0.119026	40.949839	21.367799	85.822509	17.5	75.773491
446039.177	24.575764	17.556254	-0.110942	40.997411	21.286711	85.824322	17.5	75.73782
446040.925	24.587771	17.507421	-0.092725	40.983292	21.322023	85.827902	17.5	75.768014
446041.2001	24.521123	17.515175	-0.088776	40.982006	21.334476	85.822536	17.5	75.759344
446043.281	24.471471	17.518133	-0.115412	40.964665	21.324849	85.824638	17.5	75.737316
446044.801	24.516147	17.509768	-0.10635	40.926891	21.229453	85.823039	17.5	75.741463
446045.1083	24.575588	17.513146	-0.098909	40.987483	21.378672	85.822992	17.5	75.736956
446047.575	24.570965	17.472586	-0.059337	40.936521	21.302399	85.820547	17.5	75.773364
446048.2474	24.620628	17.488168	-0.046252	40.947883	21.33165	85.818222	17.5	75.763332
446050.3622	24.719017	17.544285	-0.059794	40.943953	21.261434	85.827967	17.5	75.69885
446051.004	24.614352	17.555827	-0.057558	40.941382	21.313877	85.819384	17.5	75.677621
446052.808	24.559343	17.578165	-0.08046	40.956172	21.390656	85.817125	17.5	75.613259
446053.1044	24.501571	17.578232	-0.078448	40.925829	21.205384	85.82368	17.5	75.605398
446054.6121	24.538668	17.563287	-0.093824	40.950546	21.289809	85.824154	17.5	75.578425
446056.2031	24.533869	17.551695	-0.090257	40.894201	21.357568	85.826618	17.5	75.56536
446056.4761	24.549744	17.539348	-0.097791	40.947045	21.21848	85.825345	17.5	75.573454
