Time (sec)	Fluid Temperature (C)	Flowrate (GPM)	"Pressure Drop (large pipe, (""WC)"	"Pressure Drop (small pipe, (""WC))"	Ambient Temperature (C)	Ambient Pressure (kPa)	Flow Setpoint (GPM)	Control Output (%)
1051866.762	21.103896	6.873728	-0.121112	26.171016	21.438128	86.136104	7	31.744986
1051868.189	21.141669	6.886242	-0.093759	26.292721	21.382458	86.135518	7	31.786931
1051869.474	21.224074	6.932921	-0.091282	26.323306	21.384814	86.13921	7	31.776978
1051870.239	21.059085	6.939543	-0.081531	26.368065	21.462193	86.133026	7	31.790352
1051871.74	21.164259	7.001913	-0.072432	26.431339	21.382458	86.135704	7	31.750914
1051873.625	21.228866	6.997319	-0.050378	26.495545	21.40962	86.134179	7	31.757812
1051874.054	21.245725	7.01866	-0.049772	26.50605	21.455764	86.13655	7	31.735432
1051875.845	21.24664	6.930859	-0.044902	26.516723	21.489454	86.134086	7	31.84155
1051877.642	21.239039	6.934388	-0.057512	26.48517	21.438969	86.136132	7	31.875391
1051877.914	21.090368	6.944195	-0.059728	26.47811	21.468722	86.126248	7	31.871211
1051879.02	21.136289	6.948906	-0.084976	26.501431	21.480299	86.132292	7	31.87964
1051879.924	21.101478	6.92148	-0.104069	26.506013	21.521157	86.137248	7	31.93369
1051882.604	21.173125	6.920918	-0.123906	26.51147	21.463639	86.136587	7	31.978957
1051883.688	21.296258	6.90397	-0.124297	26.509943	21.497093	86.129456	7	32.020089
1051884.399	21.237928	6.909444	-0.120497	26.472262	21.413423	86.132189	7	32.037606
1051886.323	21.127576	6.930742	-0.12873	26.499177	21.509916	86.129372	7	32.068952
1051887.447	21.1435	6.938856	-0.121624	26.554404	21.479189	86.131352	7	32.081406
1051887.91	21.225512	6.931739	-0.117088	26.564481	21.393161	86.133138	7	32.098725
1051889.628	21.140537	6.921564	-0.11707	26.563606	21.36132	86.138763	7	32.145923
1051891.059	21.30031	6.898907	-0.112534	26.576868	21.495848	86.130841	7	32.213813
1051891.499	21.094791	6.897969	-0.113643	26.571485	21.362935	86.130841	7	32.230111
1051893.246	21.085902	6.937615	-0.121177	26.60965	21.420424	86.140149	7	32.242733
1051893.656	21.049979	6.926744	-0.120367	26.635187	21.563224	86.13695	7	32.262873
1051895.228	21.092569	6.877684	-0.129093	26.664393	21.446104	86.130869	7	32.354837
1051896.676	21.109779	6.842774	-0.11815	26.649548	21.497564	86.136188	7	32.460122
1051897.311	21.257162	6.856202	-0.126858	26.646065	21.467207	86.13046	7	32.478366
1051899.61	21.152366	6.909217	-0.158029	26.642116	21.425237	86.137341	7	32.513436
1051901.135	21.146811	6.912729	-0.145708	26.684678	21.51631	86.134439	7	32.562072
1051901.567	21.094224	6.913911	-0.138844	26.695816	21.461519	86.137173	7	32.573344
1051903.021	21.228083	6.908848	-0.127091	26.742624	21.607612	86.13695	7	32.619949
1051905.05	21.170686	6.932334	-0.113242	26.775593	21.519508	86.135825	7	32.659023
1051906.118	21.077189	6.95603	-0.10608	26.827971	21.530984	86.140056	7	32.656194
1051906.38	21.158095	6.962576	-0.101209	26.819682	21.503353	86.138149	7	32.652956
1051907.298	21.165872	6.972266	-0.089568	26.89199	21.529133	86.13708	7	32.652881
1051908.239	21.161799	6.995928	-0.072264	26.943064	21.479155	86.139386	7	32.636106
1051910.506	21.185499	7.009984	-0.036771	27.00522	21.529133	86.136773	7	32.618992
1051911	21.16328	7.011217	-0.034266	27.017849	21.432137	86.137341	7	32.615806
1051912.514	21.047736	7.036052	-0.017893	27.033719	21.42103	86.137173	7	32.578925
1051912.795	21.185673	7.040151	-0.019151	27.060802	21.42103	86.137173	7	32.571334
1051913.617	21.254374	7.049187	-0.017931	27.081347	21.343278	86.140195	7	32.551157
1051914.904	21.241218	7.064308	-0.030624	27.033514	21.39683	86.135611	7	32.515374
1051917.027	21.172342	7.069597	-0.040776	27.048862	21.41238	86.132961	7	32.462655
1051918.102	21.190487	7.081566	-0.037088	27.043442	21.359805	86.136857	7	32.423563
1051918.947	21.232876	7.087601	-0.034592	27.001495	21.464952	86.133184	7	32.391928
1051919.289	21.245836	7.076688	-0.034853	27.038226	21.332541	86.129827	7	32.393415
1051921.063	21.179748	7.088665	-0.030699	26.996689	21.35994	86.138763	7	32.334546
1051922.599	21.268445	7.106184	-0.035831	26.945131	21.500493	86.13933	7	32.266192
1051923.158	21.102896	7.103711	-0.028129	26.941965	21.363138	86.132812	7	32.249254
1051925.236	21.149927	7.065615	-0.009092	26.857699	21.496185	86.133166	7	32.228332
1051925.507	21.27694	7.06015	-0.004845	26.844139	21.496185	86.133166	7	32.22815
1051927.211	21.187699	7.041324	-0.007258	26.837042	21.429781	86.135741	7	32.218872
1051929.191	21.255659	7.022197	-0.006624	26.787086	21.448292	86.132292	7	32.219485
1051929.473	21.120672	7.012038	-0.005153	26.813237	21.385723	86.12993	7	32.228358
1051931.145	21.196762	7.009222	-0.00614	26.765218	21.460139	86.132022	7	32.221809
1051933.528	21.224164	7.013823	-0.016925	26.739346	21.338331	86.135518	7	32.218811
1051933.994	21.206389	7.024594	-0.023807	26.724613	21.428064	86.132329	7	32.205036
1051934.671	21.233051	7.030679	-0.046438	26.706899	21.368691	86.133361	7	32.192703
1051936.461	21.269144	7.002013	-0.074061	26.703416	21.38165	86.135239	7	32.210237
1051938.657	21.186763	6.970992	-0.073978	26.712766	21.50544	86.131222	7	32.255161
1051940.443	21.175654	6.980212	-0.070094	26.694363	21.277977	86.133445	7	32.260981
1051941.628	21.151584	6.957505	-0.068231	26.686615	21.441022	86.137647	7	32.29432
1051941.917	21.098256	6.944027	-0.072636	26.680431	21.40474	86.135035	7	32.312245
1051944.036	21.163979	6.934807	-0.083887	26.653329	21.398075	86.136978	7	32.367209
1051945.4	21.154721	6.945611	-0.094234	26.668826	21.438431	86.13894	7	32.383308
1051946.498	21.156573	6.977429	-0.115524	26.654559	21.409923	86.135509	7	32.363879
1051946.772	21.123984	6.968377	-0.109964	26.685963	21.407836	86.133854	7	32.375567
1051948.944	21.151193	6.983774	-0.113736	26.723756	21.434728	86.13152	7	32.378497
1051949.889	21.12527	6.982609	-0.115217	26.702447	21.447316	86.134672	7	32.386125
1051950.2	21.139167	6.96815	-0.122146	26.722489	21.407567	86.138401	7	32.40308
1051952.329	21.134898	6.959416	-0.121913	26.684342	21.456336	86.138577	7	32.444511
1051954.396	21.110632	6.975258	-0.122686	26.70228	21.312917	86.138735	7	32.450466
1051954.671	21.139147	6.96758	-0.123328	26.739719	21.412515	86.13231	7	32.460467
1051957.416	21.041182	6.896913	-0.109033	26.70729	21.35994	86.136587	7	32.596253
1051957.7	21.144136	6.887776	-0.113484	26.661544	21.43769	86.132292	7	32.615988
1051959.476	21.13747	6.913274	-0.109899	26.641334	21.440282	86.137238	7	32.651921
1051960.283	21.116732	6.912662	-0.105186	26.630121	21.392757	86.134811	7	32.676249
1051961.99	21.110611	6.942577	-0.111603	26.659103	21.375861	86.132422	7	32.685715
1051963.372	21.072096	6.95422	-0.113717	26.667802	21.474712	86.136141	7	32.699978
1051963.641	21.159319	6.949568	-0.118132	26.703677	21.493593	86.136587	7	32.70882
1051966.484	21.103205	6.951722	-0.112031	26.730573	21.474948	86.137796	7	32.750492
1051968.22	21.053013	6.94904	-0.088953	26.747598	21.431632	86.132329	7	32.785181
1051968.501	20.991163	6.955385	-0.079482	26.73998	21.507897	86.136188	7	32.783097
1051969.308	21.156902	6.973758	-0.069731	26.730853	21.428435	86.139433	7	32.775596
1051971.904	21.184831	6.968921	-0.05442	26.777605	21.433113	86.133091	7	32.799766
1051972.461	21.103555	6.952485	-0.058117	26.782001	21.433483	86.131594	7	32.823035
1051974.086	21.097064	6.935763	-0.071957	26.795132	21.414736	86.130971	7	32.867539
1051975.782	21.013911	6.942795	-0.091626	26.751714	21.335739	86.13655	7	32.895456
1051976.126	21.062427	6.93531	-0.099896	26.766988	21.436075	86.13735	7	32.901896
1051979.558	21.016328	6.944337	-0.122844	26.851477	21.443109	86.134254	7	32.965827
1051980.067	21.107784	6.926869	-0.118998	26.848646	21.370778	86.135165	7	32.994433
1051981.856	20.95853	6.94303	-0.127715	26.859263	21.465188	86.137871	7	33.021502
1051982.222	20.997244	6.944673	-0.124511	26.909816	21.420895	86.132552	7	33.026665
1051983.813	21.055371	7.003799	-0.109452	26.93539	21.37263	86.133807	7	32.983027
1051984.244	21.089638	7.010596	-0.093507	26.947013	21.42867	86.136941	7	32.975422
1051986.589	21.046483	7.078506	-0.088665	26.94949	21.404841	86.137173	7	32.878837
1051987.818	21.042584	7.094181	-0.074974	26.982962	21.397571	86.138289	7	32.823477
1051988.185	21.061472	7.091968	-0.066434	26.99343	21.433349	86.13854	7	32.814359
1051990.084	21.015724	7.123559	-0.055332	26.989313	21.421501	86.13523	7	32.715862
1051990.415	21.048315	7.103057	-0.050722	26.996429	21.445701	86.136364	7	32.724131
1051992.56	21.067008	7.108883	-0.032459	26.954091	21.426685	86.130683	7	32.640819
