Time (sec)	Fluid Temperature (C)	Flowrate (GPM)	"Pressure Drop (large pipe, (""WC)"	"Pressure Drop (small pipe, (""WC))"	Ambient Temperature (C)	Ambient Pressure (kPa)	Flow Setpoint (GPM)	Control Output (%)
1052755.658	21.320581	1.205014	0.124888	8.962745	21.422378	86.135155	1	8.154565
1052756.299	21.316138	1.161671	0.116562	8.860579	21.458795	86.142827	1	8.158088
1052756.904	21.3191	1.107708	0.115072	8.755824	21.422277	86.140232	1	8.183967
1052758.942	21.416105	0.968216	0.127961	8.199098	21.414603	86.13417	1	8.307854
1052759.256	21.303919	0.966213	0.128557	8.134539	21.385489	86.138772	1	8.313012
1052760.893	21.435905	0.959097	0.100785	7.743625	21.412246	86.138205	1	8.340763
1052761.34	21.433313	0.953506	0.098615	7.639988	21.461857	86.130757	1	8.353691
1052763.519	21.375926	0.983991	0.037064	7.409839	21.434595	86.130925	1	8.341831
1052763.787	21.50013	1.012071	0.028934	7.409057	21.434595	86.130925	1	8.313583
1052765.502	21.32335	1.069352	-0.004622	7.442044	21.495681	86.129679	1	8.230603
1052767.142	21.346676	1.117289	-0.003691	7.579526	21.441259	86.130255	1	8.130641
1052767.4	21.364448	1.115403	0.001376	7.589585	21.49272	86.129669	1	8.122467
1052769.713	21.325008	1.138553	0.046023	7.730326	21.377579	86.133909	1	8.000239
1052770.158	21.374252	1.142292	0.060757	7.725353	21.38744	86.135332	1	7.975157
1052771.188	21.333524	1.097206	0.077213	7.69529	21.341899	86.135379	1	7.978713
1052772.908	21.408314	0.996782	0.100087	7.505039	21.322781	86.13165	1	8.052748
1052774.73	21.333524	0.925318	0.094266	7.091122	21.374111	86.139256	1	8.154119
1052776.55	21.344987	0.899099	0.07374	6.779502	21.238222	86.135685	1	8.234548
1052777.644	21.377199	0.90811	0.042587	6.642746	21.470742	86.138317	1	8.261237
1052777.909	21.448477	0.908361	0.040156	6.62697	21.414468	86.137917	1	8.269191
1052780.168	21.225017	0.95789	-0.027356	6.568445	21.286124	86.132468	1	8.271602
1052781.74	21.459938	0.986447	-0.050341	6.711571	21.254515	86.133045	1	8.257417
1052782.183	21.326667	1.006186	-0.054755	6.756647	21.298949	86.131576	1	8.238297
1052784.697	21.32129	1.053829	-0.069852	7.069478	21.383368	86.140595	1	8.169927
1052784.972	21.406448	1.061348	-0.072366	7.089129	21.338702	86.134346	1	8.15681
1052787.185	21.306479	0.998869	-0.089363	7.239556	21.3867	86.134932	1	8.197307
1052787.948	21.384411	1.0099	-0.091021	7.259692	21.358191	86.139609	1	8.183072
1052789.619	21.36886	1.011853	-0.109433	7.286476	21.472358	86.134254	1	8.173304
1052790.065	21.334974	1.029497	-0.114779	7.285489	21.374482	86.134077	1	8.15293
1052792.51	21.416799	0.972927	-0.105382	7.268446	21.335605	86.133668	1	8.200687
1052792.964	21.480478	0.973807	-0.09714	7.244101	21.497532	86.137294	1	8.204486
1052794.986	21.378101	0.972592	-0.094504	7.236725	21.448294	86.138019	1	8.218877
1052795.272	21.405692	0.964973	-0.088776	7.238681	21.406087	86.137647	1	8.22944
1052797.214	21.370326	0.952911	-0.080627	7.215361	21.369433	86.135834	1	8.276257
1052799.202	21.338662	0.937639	-0.073801	7.212529	21.524557	86.135016	1	8.334714
1052800.054	21.304227	0.960203	-0.070969	7.227337	21.369433	86.133463	1	8.326756
1052801.997	21.329776	0.947999	-0.059263	7.265652	21.44237	86.132422	1	8.368307
1052803.424	21.351991	0.974738	-0.070439	7.345541	21.468285	86.131873	1	8.368726
1052803.717	21.508036	0.985089	-0.067458	7.370426	21.464448	86.140102	1	8.354961
1052806.788	21.340868	1.048699	-0.060939	7.683183	21.409419	86.13059	1	8.268191
1052808.425	21.358271	1.130105	-0.032226	7.804795	21.526408	86.137666	1	8.141582
1052809.526	21.26366	1.089352	-0.021172	7.872874	21.39424	86.132738	1	8.144077
1052809.799	21.381966	1.09086	-0.016021	7.886155	21.398682	86.133389	1	8.134301
1052812.049	21.289401	1.102344	0.017767	7.85164	21.383873	86.13403	1	8.052418
1052813.287	21.337344	1.061423	0.021893	7.756738	21.47569	86.137564	1	8.058667
1052813.945	21.33567	1.042857	0.031728	7.672938	21.471853	86.134263	1	8.066129
1052816.512	21.313277	1.001124	0.043378	7.308809	21.355364	86.136401	1	8.100564
1052817.511	21.570761	0.981946	0.045539	7.165963	21.399793	86.133221	1	8.125466
1052817.791	21.260875	0.984947	0.047411	7.128021	21.399793	86.133221	1	8.123549
1052820.109	21.403604	0.981125	0.01719	6.900015	21.421032	86.13125	1	8.138718
1052820.939	21.481351	0.96193	0.013138	6.86509	21.430523	86.131408	1	8.164113
1052822.703	21.366579	0.93525	0.00241	6.777881	21.295751	86.136011	1	8.221584
1052822.976	21.339921	0.942953	0.003304	6.78129	21.308711	86.128535	1	8.219539
1052824.344	21.326029	0.950975	-0.009679	6.750742	21.376098	86.134532	1	8.235322
1052826.381	21.329909	0.954411	-0.050611	6.711813	21.363509	86.137833	1	8.259698
1052826.656	21.307145	0.9482	-0.053628	6.73152	21.363509	86.137833	1	8.270374
1052828.632	21.369527	0.962458	-0.076343	6.754747	21.300329	86.136857	1	8.289577
1052829.709	21.386928	0.967655	-0.074117	6.797141	21.400669	86.139656	1	8.296722
1052830.743	21.228823	0.978778	-0.082238	6.845532	21.376233	86.1404	1	8.294483
1052831.808	21.301029	1.013143	-0.084334	6.899195	21.374516	86.14251	1	8.259488
1052832.384	21.387106	1.009112	-0.081726	6.932835	21.487672	86.140725	1	8.261475
1052834.236	21.29472	1.015926	-0.070271	7.013152	21.409925	86.139024	1	8.247303
1052834.531	21.325644	1.001819	-0.066555	7.046381	21.299959	86.140195	1	8.260345
1052837.197	21.38025	1.01544	-0.067635	7.102894	21.350685	86.136504	1	8.24082
1052837.467	21.22752	1.009925	-0.06675	7.129455	21.350685	86.136504	1	8.245084
1052840.291	21.342114	0.970329	-0.095445	7.119434	21.372295	86.134616	1	8.287651
1052840.91	21.272133	0.98747	-0.106239	7.111332	21.35008	86.138233	1	8.274953
1052842.415	21.288974	0.976137	-0.105801	7.108761	21.318237	86.135332	1	8.29882
1052842.792	21.374134	0.971955	-0.108455	7.103397	21.330691	86.132422	1	8.306442
1052844.638	21.378755	0.992792	-0.099934	7.09345	21.346983	86.136773	1	8.303331
1052844.92	21.38339	0.991669	-0.100967	7.094922	21.266634	86.134672	1	8.30521
1052846.575	21.285449	0.971603	-0.099272	7.107364	21.305278	86.137926	1	8.337308
1052847.952	21.311176	0.957446	-0.093265	7.132361	21.419181	86.13761	1	8.369453
1052848.784	21.457793	0.967361	-0.093591	7.138079	21.408209	86.130683	1	8.3704
1052850.407	21.35931	0.987662	-0.08004	7.221843	21.313424	86.134616	1	8.361429
1052850.871	21.222679	0.989733	-0.072441	7.255463	21.369333	86.136188	1	8.360732
1052853.032	21.3469	1.021098	-0.080627	7.394603	21.434125	86.134932	1	8.327379
1052853.301	21.249888	1.013646	-0.076352	7.395702	21.434125	86.134932	1	8.333227
1052856.12	21.221005	1.018231	-0.080813	7.521971	21.323286	86.134439	1	8.312265
1052857.1	21.285243	1.020494	-0.064487	7.553598	21.423758	86.134291	1	8.304891
1052858.364	21.236736	0.997662	-0.068241	7.565854	21.346748	86.135434	1	8.324323
1052858.913	21.279689	0.988551	-0.077777	7.588635	21.433384	86.136188	1	8.333813
1052860.815	21.313014	0.983673	-0.08968	7.573678	21.42672	86.135155	1	8.345259
1052861.751	21.286916	0.982239	-0.087193	7.575633	21.397101	86.136504	1	8.350448
1052863.992	21.222843	0.993731	-0.066648	7.591596	21.430423	86.134839	1	8.346927
1052864.873	21.287465	0.999112	-0.055025	7.575168	21.403395	86.136104	1	8.342432
1052865.433	21.122118	0.991518	-0.054457	7.575727	21.34254	86.142324	1	8.350583
1052867.117	21.215808	1.003085	-0.057838	7.570083	21.403395	86.139693	1	8.342436
1052867.76	21.278757	1.000177	-0.061582	7.581426	21.296021	86.13417	1	8.345311
1052869.684	21.215246	1.013822	-0.081838	7.58165	21.371184	86.134616	1	8.326963
1052870.248	21.248572	1.015021	-0.088106	7.577179	21.350315	86.137694	1	8.32322
1052871.443	21.319295	1.015977	-0.081205	7.561067	21.355028	86.134514	1	8.315596
1052873.448	21.236901	1.023856	-0.055305	7.558367	21.346748	86.13987	1	8.297161
1052874.596	21.219127	1.037124	-0.05062	7.564495	21.264918	86.136057	1	8.271575
1052875.11	21.316882	1.052907	-0.043132	7.549612	21.434495	86.136281	1	8.248145
1052876.712	21.346311	1.059697	-0.037162	7.54354	21.475219	86.135518	1	8.214207
1052877.068	21.271338	1.053888	-0.036864	7.544229	21.413022	86.139832	1	8.213102
1052879.261	21.311876	1.055824	-0.031686	7.51357	21.453006	86.138856	1	8.168454
1052879.624	21.204685	1.056218	-0.026778	7.497477	21.449674	86.133854	1	8.160569
1052881.583	21.148385	1.045347	-0.031034	7.400638	21.393904	86.138401	1	8.133306
