Time (sec)	Fluid Temperature (C)	Flowrate (GPM)	"Pressure Drop (large pipe, (""WC)"	"Pressure Drop (small pipe, (""WC))"	Ambient Temperature (C)	Ambient Pressure (kPa)	Flow Setpoint (GPM)	Control Output (%)
448600.0586	25.188525	14.657616	10.164377	0.373809	21.545543	85.775626	14.5	45.971542
448600.787	25.201259	14.544016	10.153267	0.364831	21.513101	85.773358	14.5	46.056854
448602.1901	25.231326	14.295719	10.205672	0.36742	21.447944	85.776705	14.5	46.360185
448603.6811	25.110118	14.285996	10.185062	0.360677	21.545309	85.77465	14.5	46.483463
448603.99	25.157899	14.294168	10.13437	0.367904	21.490889	85.778351	14.5	46.497143
448605.2701	25.243502	14.361324	10.054649	0.347415	21.386855	85.774883	14.5	46.508465
448607.039	25.283169	14.4031	9.936827	0.329702	21.443131	85.772911	14.5	46.527121
448607.6451	25.180407	14.389848	9.911495	0.3262	21.524344	85.775413	14.5	46.56038
448610.311	25.225791	14.348525	9.84784	0.289692	21.470293	85.774966	14.5	46.722952
448610.5731	25.227636	14.344284	9.821464	0.292244	21.503378	85.782535	14.5	46.740569
448612.533	25.167502	14.363311	9.744565	0.262199	21.569741	85.778527	14.5	46.822167
448613.1381	25.243142	14.366286	9.729273	0.257934	21.582327	85.774157	14.5	46.846266
448614.6301	25.295164	14.333421	9.729766	0.24009	21.51842	85.777681	14.5	46.955352
448615.6471	25.103296	14.360721	9.730037	0.237408	21.441416	85.776742	14.5	46.98423
448617.046	25.163254	14.44288	9.750423	0.214702	21.520135	85.777375	14.5	46.945959
448617.352	25.224135	14.445755	9.733408	0.205873	21.520135	85.777375	14.5	46.948477
448619.3761	25.22949	14.456735	9.765911	0.214739	21.48931	85.782851	14.5	46.969749
448620.61	25.232433	14.495259	9.778558	0.219172	21.479178	85.774204	14.5	46.943778
448621.096	25.304199	14.513053	9.80566	0.221743	21.442897	85.775199	14.5	46.925142
448622.658	25.256055	14.504236	9.796906	0.219955	21.456595	85.777551	14.5	46.928132
448624.19	25.257162	14.531368	9.777981	0.229007	21.439935	85.77359	14.5	46.893547
448624.909	25.20458	14.555147	9.806275	0.234334	21.457706	85.772251	14.5	46.858618
448625.8903	25.210672	14.546263	9.820375	0.241636	21.560018	85.777151	14.5	46.851008
448627.525	25.236131	14.517697	9.828207	0.252551	21.609623	85.777458	14.5	46.858062
448627.806	25.169166	14.523866	9.829912	0.263913	21.598888	85.776036	14.5	46.85009
448629.4327	25.277266	14.553303	9.886163	0.278144	21.600368	85.77505	14.5	46.797731
448630.558	25.159015	14.575725	9.893111	0.289916	21.577787	85.776612	14.5	46.75076
448632.3311	25.228563	14.534746	9.931407	0.312267	21.58408	85.774483	14.5	46.754183
448633.8428	25.186689	14.548752	9.958825	0.324374	21.556921	85.776742	14.5	46.721572
448634.13	25.225062	14.554091	9.942928	0.312435	21.540769	85.777375	14.5	46.711244
448637.999	25.182819	14.567988	9.980879	0.357418	21.537671	85.780034	14.5	46.590082
448638.267	25.119163	14.564845	9.993834	0.34518	21.556921	85.779959	14.5	46.587439
448640.9322	25.204949	14.585331	9.926704	0.332123	21.525454	85.775589	14.5	46.526424
448641.985	25.273396	14.583445	9.91319	0.333557	21.642061	85.777728	14.5	46.499467
448642.511	25.212697	14.575809	9.923733	0.334693	21.619481	85.783549	14.5	46.493008
448644.784	25.19019	14.485586	9.900385	0.328994	21.643172	85.783735	14.5	46.554236
448646.0241	25.186869	14.476324	9.917754	0.31819	21.478068	85.779411	14.5	46.571229
448646.445	25.146649	14.448479	9.920613	0.326498	21.558402	85.781317	14.5	46.605055
448648.7361	25.157908	14.385975	9.905982	0.320649	21.603564	85.771944	14.5	46.734034
448650.7521	25.088166	14.353336	9.864818	0.299471	21.65414	85.774883	14.5	46.849693
448651.0351	25.217683	14.340965	9.876347	0.288798	21.65414	85.774883	14.5	46.876325
448652.814	25.098498	14.343831	9.807998	0.252197	21.643406	85.780294	14.5	46.965431
448655.4601	25.006422	14.436946	9.81162	0.244746	21.482374	85.781531	14.5	46.974268
448655.972	25.155874	14.457649	9.791075	0.237892	21.571222	85.777635	14.5	46.962525
