Time (sec)	Fluid Temperature (C)	Flowrate (GPM)	"Pressure Drop (large pipe, (""WC)"	"Pressure Drop (small pipe, (""WC))"	Ambient Temperature (C)	Ambient Pressure (kPa)	Flow Setpoint (GPM)	Control Output (%)
1054248.796	21.331761	6.203184	6.355855	0.299136	21.256152	86.123263	6	27.274078
1054251.134	21.434689	6.201667	6.314895	0.295764	21.315532	86.122166	6	27.11829
1054251.429	21.461345	6.201215	6.317363	0.292411	21.342561	86.123886	6	27.100192
1054253.156	21.356568	6.153999	6.252795	0.298297	21.334416	86.124341	6	27.046301
1054254.928	21.419509	6.13426	6.169749	0.294181	21.396988	86.122166	6	26.980831
1054255.21	21.371926	6.131846	6.161395	0.291406	21.308731	86.132013	6	26.970746
1054257.948	21.386188	6.104462	6.072742	0.299471	21.366628	86.124593	6	26.883233
1054259.114	21.466158	6.097002	6.052858	0.303364	21.230504	86.122259	6	26.849658
1054259.424	21.335834	6.096893	6.047978	0.303848	21.37639	86.127336	6	26.837809
1054261.096	21.402849	6.083784	6.040584	0.282986	21.303684	86.119423	6	26.799808
1054262.709	21.34435	6.079233	6.03005	0.285166	21.374773	86.124193	6	26.760453
1054263.022	21.411735	6.081362	6.02762	0.285371	21.244809	86.126136	6	26.749847
1054265.453	21.371748	6.032018	6.02924	0.29081	21.20889	86.122194	6	26.743507
1054265.725	21.337493	6.046661	6.029268	0.287457	21.255684	86.12595	6	26.725453
1054267.698	21.31972	6.022596	6.040369	0.290549	21.305301	86.126806	6	26.736131
1054269.335	21.350081	6.021775	6.014283	0.27643	21.264064	86.12317	6	26.726258
1054269.789	21.396733	6.026058	6.002912	0.282651	21.330109	86.12091	6	26.719567
1054271.545	21.36193	6.000745	6.000276	0.256053	21.243094	86.123523	6	26.735574
1054272.233	21.415615	6.003083	6.00483	0.276337	21.195325	86.118986	6	26.7332
1054273.29	21.309723	6.006696	6.005715	0.27399	21.256054	86.126517	6	26.720695
1054274.652	21.283804	6.030073	6.005566	0.276598	21.162368	86.124909	6	26.692609
1054276.472	21.366743	6.043392	6.000602	0.286358	21.275445	86.122677	6	26.658179
1054277.889	21.465225	6.058429	5.986371	0.296286	21.211014	86.127243	6	26.62488
1054278.837	21.366743	6.02061	5.988262	0.297012	21.191525	86.12661	6	26.652054
1054279.119	21.429313	6.018657	5.985431	0.301911	21.131631	86.127503	6	26.652138
1054281.395	21.320831	6.044465	5.990497	0.311094	21.145976	86.120994	6	26.605035
1054281.971	21.440228	6.047029	5.992378	0.308169	21.099315	86.130162	6	26.594047
1054283.559	21.439858	6.070625	6.001263	0.339052	21.148939	86.124741	6	26.544137
1054283.962	21.528339	6.06754	5.999913	0.340151	20.994875	86.126406	6	26.538193
1054285.873	21.434675	6.085905	6.017589	0.347732	20.976357	86.122119	6	26.474145
1054286.672	21.389698	6.079015	6.012718	0.34382	21.034134	86.12621	6	26.459654
1054288.439	21.424679	6.087506	6.008732	0.348067	20.999086	86.12609	6	26.403295
1054289.509	21.299904	6.064464	5.992974	0.363453	21.032418	86.123616	6	26.398891
1054289.779	21.466884	6.066878	5.988038	0.359876	21.011308	86.122212	6	26.390514
1054290.519	21.631249	6.05226	5.974795	0.352482	21.111536	86.125188	6	26.391884
1054293.301	21.470394	6.034281	5.959614	0.331955	21.053899	86.123216	6	26.37909
1054293.925	21.429492	6.030249	5.964932	0.322884	21.150693	86.124871	6	26.376207
1054295.614	21.455585	6.028246	5.982571	0.332179	21.130325	86.122194	6	26.361407
1054296.529	21.440036	6.020082	5.976043	0.330354	21.213509	86.120975	6	26.362061
1054298.292	21.532959	6.009085	5.961607	0.311466	20.97774	86.123393	6	26.36399
1054299.851	21.462442	5.980561	5.953505	0.319196	21.089588	86.119878	6	26.394584
1054300.302	21.547397	5.976286	5.954408	0.307108	20.987741	86.126573	6	26.401796
1054302.884	21.508526	5.972984	5.923619	0.313385	21.081207	86.12383	6	26.433986
1054303.336	21.513887	5.972037	5.913942	0.304146	21.13282	86.126759	6	26.43982
1054305.246	21.450402	5.968265	5.913914	0.305152	21.085417	86.124118	6	26.463493
1054305.656	21.410418	5.974275	5.917425	0.299471	21.085417	86.124118	6	26.461374
1054307.753	21.378207	5.968684	5.941603	0.286004	21.1374	86.121989	6	26.484603
1054309.441	21.468173	5.959363	5.944555	0.274754	21.095046	86.127429	6	26.512695
1054310.372	21.555363	5.975842	5.939898	0.285687	21.114206	86.12608	6	26.50536
1054311.268	21.437074	5.988038	5.926366	0.27507	21.000879	86.123058	6	26.500821
1054311.644	21.540925	5.979136	5.918394	0.275536	21.000879	86.123058	6	26.511338
1054313.922	21.539267	5.969681	5.894785	0.271475	20.989164	86.125039	6	26.545463
1054314.535	21.507415	5.970285	5.894971	0.267322	21.034719	86.127522	6	26.550653
1054315.468	21.47965	5.973981	5.88549	0.27358	20.984486	86.124834	6	26.555725
1054317.788	21.468543	5.983889	5.886804	0.257468	20.946337	86.122965	6	26.565792
1054318.2	21.580343	5.982212	5.885248	0.252569	20.97819	86.124927	6	26.5696
1054319.774	21.525185	5.96031	5.870859	0.25622	20.885222	86.126136	6	26.602944
1054320.466	21.452446	5.974719	5.872051	0.256481	20.997586	86.124779	6	26.596977
1054322.676	21.408196	5.981131	5.87749	0.247242	21.04624	86.123858	6	26.613028
1054323.287	21.500395	6.000837	5.876717	0.248695	20.908597	86.127243	6	26.594767
1054324.801	21.595151	5.978709	5.878254	0.243871	21.0286	86.125587	6	26.622304
1054328.137	21.576079	5.949447	5.886869	0.255661	20.911698	86.127912	6	26.702279
1054329.17	21.502603	5.954326	5.871558	0.262665	20.971837	86.12675	6	26.716577
1054329.611	21.465581	5.974828	5.856107	0.261045	20.947022	86.12515	6	26.701665
1054331.916	21.532219	6.014281	5.808144	0.237948	20.890255	86.129112	6	26.666334
1054332.801	21.49391	6.002631	5.823883	0.241673	20.924428	86.126573	6	26.676455
1054334.03	21.653651	5.994332	5.851506	0.239848	20.927665	86.126359	6	26.680956
1054335.049	21.488165	6.002161	5.880666	0.258753	20.926924	86.121143	6	26.671317
1054336.872	21.557584	5.994207	5.919214	0.271717	21.084837	86.126973	6	26.680321
1054337.437	21.607929	6.014374	5.924205	0.26788	21.015211	86.130283	6	26.658988
1054339.791	21.501684	6.018749	5.945952	0.250036	20.967941	86.127652	6	26.644732
1054340.083	21.515382	6.023904	5.940634	0.246777	20.926088	86.12688	6	26.637585
1054341.004	21.584608	6.018531	5.935242	0.258586	21.043496	86.123151	6	26.639529
1054343.424	21.535551	5.991625	5.929291	0.234018	20.993634	86.123216	6	26.661269
1054343.719	21.599415	5.989328	5.9278	0.230143	21.048955	86.121496	6	26.662081
1054345.154	21.472067	5.983134	5.925742	0.232751	20.966364	86.127996	6	26.676813
1054345.933	21.436896	5.952616	5.917165	0.229175	21.09673	86.128442	6	26.716318
1054348.18	21.446892	5.933765	5.929365	0.207698	21.043908	86.124416	6	26.770984
1054348.768	21.498722	5.93234	5.940122	0.197677	21.040341	86.12582	6	26.785122
1054350.248	21.453734	5.969438	5.931917	0.208462	21.072054	86.125671	6	26.774974
1054350.597	21.500011	5.955893	5.937142	0.207642	21.078117	86.124109	6	26.793261
1054353.172	21.39543	5.958131	5.924857	0.222804	21.108252	86.123746	6	26.828451
1054353.467	21.45948	5.944896	5.920583	0.206674	21.036035	86.121729	6	26.846331
1054355.889	21.46059	5.928719	5.920368	0.194921	21.105056	86.119079	6	26.923847
1054356.215	21.33693	5.931803	5.921803	0.201309	21.004691	86.123188	6	26.928522
1054357.729	21.409129	5.941912	5.905728	0.216881	21.067282	86.122082	6	26.950024
1054359.299	21.345254	5.972573	5.882864	0.225841	21.056541	86.121496	6	26.947479
1054359.592	21.331555	5.946748	5.88319	0.229175	20.93469	86.123058	6	26.977446
1054361.359	21.389506	5.911109	5.853723	0.246833	21.130006	86.122389	6	27.057792
1054362.464	21.397281	5.934352	5.840088	0.253184	20.912234	86.128489	6	27.055431
1054362.875	21.252494	5.968399	5.841718	0.254358	21.0083	86.122566	6	27.028579
1054364.353	21.336368	6.033501	5.856005	0.263429	21.131858	86.118735	6	26.960975
1054367.262	21.330814	6.076056	5.918403	0.298856	21.155558	86.120064	6	26.856239
1054367.946	21.421895	6.038337	5.941202	0.32037	21.222351	86.122203	6	26.880928
1054369.913	21.323779	6.056191	5.970855	0.307853	21.152733	86.121217	6	26.826307
1054370.546	21.454105	6.04993	5.984052	0.301408	21.253826	86.12582	6	26.821969
1054372.18	21.39931	6.069979	5.996485	0.318433	21.189532	86.120864	6	26.770579
1054372.569	21.348957	6.076768	5.997678	0.321171	21.183745	86.128675	6	26.754455
1054374.594	21.481679	6.06376	5.978679	0.333446	21.194113	86.120864	6	26.720965
1054374.913	21.472053	6.08158	5.976099	0.333725	21.194113	86.120864	6	26.695223
