Time (sec)	Fluid Temperature (C)	Flowrate (GPM)	"Pressure Drop (large pipe, (""WC)"	"Pressure Drop (small pipe, (""WC))"	Ambient Temperature (C)	Ambient Pressure (kPa)	Flow Setpoint (GPM)	Control Output (%)
1050470.941	20.779431	13.147465	11.623369	0.308896	21.33397	86.151641	13	44.133914
1050472.274	20.869814	13.103838	11.566446	0.273152	21.312865	86.158708	13	44.116608
1050472.532	20.875741	13.092304	11.539187	0.288053	21.330029	86.155007	13	44.119849
1050473.838	20.877593	13.05648	11.491438	0.269985	21.222886	86.159424	13	44.129933
1050475.648	20.787379	13.050059	11.404415	0.25907	21.320773	86.155816	13	44.099288
1050478.024	20.688098	12.987899	11.299473	0.230031	21.305962	86.159006	13	44.156861
1050478.307	20.728478	12.992794	11.297443	0.228411	21.280413	86.156095	13	44.153068
1050480.426	20.782732	12.958437	11.247245	0.217384	21.295224	86.155974	13	44.207919
1050480.712	20.798829	12.956727	11.243464	0.21215	21.295224	86.155974	13	44.213674
1050481.881	20.677152	12.945403	11.217005	0.206693	21.219818	86.159034	13	44.246577
1050483.539	20.690119	12.948035	11.166862	0.217719	21.287211	86.154794	13	44.277404
1050485.086	20.783102	12.95562	11.157391	0.222488	21.259572	86.155268	13	44.286401
1050485.39	20.832908	12.947993	11.152939	0.223978	21.259572	86.155268	13	44.298606
1050487.188	20.80846	12.916779	11.167999	0.239214	21.318684	86.15723	13	44.374637
1050488.656	20.793643	12.959166	11.177247	0.255755	21.261661	86.157034	13	44.367481
1050489.231	20.79196	12.997513	11.173819	0.264453	21.32831	86.156728	13	44.33399
1050490.652	20.752693	13.050537	11.161628	0.278926	21.33807	86.151083	13	44.268761
1050492.458	20.784382	13.076404	11.182313	0.30288	21.442108	86.152934	13	44.208756
1050493.026	20.70935	13.096638	11.176706	0.303029	21.387921	86.153659	13	44.171988
1050494.645	20.80176	13.105229	11.188851	0.311764	21.288824	86.15378	13	44.105108
1050494.926	20.824726	13.110853	11.179174	0.315974	21.343729	86.154431	13	44.089502
1050496.682	20.776369	13.133996	11.19754	0.338158	21.359412	86.145579	13	43.993694
1050498.794	20.812132	13.150701	11.180944	0.360845	21.363988	86.150191	13	43.864313
1050499.478	20.79415	13.127198	11.211603	0.363937	21.339551	86.154738	13	43.856931
1050502.146	20.82951	13.081994	11.207338	0.364663	21.375095	86.152441	13	43.807437
1050503.688	20.865239	13.047084	11.203417	0.364198	21.389297	86.158913	13	43.805472
1050504.356	20.858402	13.04617	11.188963	0.372189	21.267851	86.15365	13	43.794264
1050506.833	20.680389	13.041216	11.173456	0.323257	21.371525	86.156281	13	43.77063
1050507.832	20.797451	12.996952	11.164702	0.33948	21.345978	86.152804	13	43.804896
1050508.906	20.808935	12.960147	11.161917	0.337562	21.357456	86.157072	13	43.849434
1050509.783	20.786709	12.985091	11.140571	0.324896	21.414844	86.157704	13	43.831587
1050511.999	20.827996	12.982979	11.097656	0.292449	21.411749	86.154821	13	43.855525
1050512.291	20.829679	12.991813	11.104818	0.296658	21.312892	86.158913	13	43.848075
1050514.517	20.866149	12.933467	11.056864	0.260858	21.301546	86.15153	13	43.922323
1050515.081	20.846517	12.933308	11.052133	0.259741	21.357456	86.152813	13	43.935163
1050516.491	20.961711	12.95816	11.037315	0.258921	21.307841	86.152757	13	43.938019
1050516.904	20.901877	12.950843	11.041041	0.262274	21.355234	86.155054	13	43.951847
1050518.13	20.85891	12.979215	11.015178	0.239736	21.462603	86.158708	13	43.935567
1050519.984	20.836515	12.906561	10.992509	0.199857	21.500365	86.158829	13	44.041884
1050520.548	20.927063	12.919603	10.987536	0.202036	21.333522	86.148954	13	44.046049
1050522.34	20.883356	12.927625	10.977636	0.215223	21.343148	86.153343	13	44.085433
1050522.612	20.880764	12.927734	10.980812	0.218483	21.371896	86.155277	13	44.091918
1050524.867	20.986324	12.914566	10.975382	0.207549	21.340557	86.154412	13	44.169433
1050525.426	20.828705	12.908673	10.977888	0.216732	21.39411	86.153111	13	44.193201
1050527.024	20.857428	12.957959	10.991392	0.229249	21.347962	86.149754	13	44.172609
1050528.432	20.794424	12.90429	10.99155	0.244746	21.357456	86.157639	13	44.26138
1050530.158	20.853893	12.948119	11.004123	0.27114	21.36412	86.156021	13	44.265664
1050530.599	20.863693	12.965327	11.008454	0.277194	21.36412	86.156021	13	44.254836
1050531.496	20.866857	12.984345	11.03345	0.283676	21.395961	86.160717	13	44.246484
1050533.058	20.902787	13.048115	11.0363	0.305804	21.335003	86.154152	13	44.168718
1050534.815	20.975753	13.097953	11.057507	0.322754	21.350791	86.156932	13	44.077342
