Time (sec)	Fluid Temperature (C)	Flowrate (GPM)	"Pressure Drop (large pipe, (""WC)"	"Pressure Drop (small pipe, (""WC))"	Ambient Temperature (C)	Ambient Pressure (kPa)	Flow Setpoint (GPM)	Control Output (%)
1050189.108	20.248789	23.433988	16.047207	0.283545	21.230747	86.153427	23.5	80.628578
1050190.798	20.238783	23.426076	16.036674	0.277473	21.306153	86.156151	23.5	80.685497
1050191.057	20.135008	23.433117	16.054052	0.276989	21.306153	86.156151	23.5	80.684407
1050192.956	20.268431	23.469578	16.07347	0.29189	21.243576	86.156095	23.5	80.679927
1050194.314	20.297338	23.455983	16.101559	0.305487	21.256906	86.157602	23.5	80.707705
1050195.395	20.327522	23.4618	16.086155	0.30735	21.238762	86.164148	23.5	80.717161
1050196.474	20.304917	23.487532	16.103571	0.313366	21.180995	86.15881	23.5	80.698555
1050197.44	20.248957	23.507565	16.104874	0.314353	21.266294	86.157034	23.5	80.679335
1050199.212	20.270081	23.488488	16.085931	0.317259	21.321836	86.155956	23.5	80.708094
1050200.138	20.325669	23.517439	16.089219	0.314689	21.248521	86.158606	23.5	80.677562
1050202.506	20.263207	23.517514	16.115016	0.319736	21.31541	86.156151	23.5	80.654629
1050202.791	20.323243	23.525527	16.108358	0.31385	21.253335	86.157183	23.5	80.644819
1050204.435	20.252292	23.548284	16.143645	0.347285	21.233948	86.158159	23.5	80.599006
1050205.819	20.241712	23.550765	16.170803	0.347248	21.290231	86.152655	23.5	80.57704
1050206.551	20.336213	23.537379	16.176484	0.361963	21.306153	86.152887	23.5	80.579724
1050206.937	20.224293	23.510431	16.17952	0.349259	21.347252	86.155537	23.5	80.603525
1050208.867	20.281199	23.54297	16.186449	0.349911	21.312447	86.156811	23.5	80.556722
1050209.441	20.352518	23.546197	16.190491	0.342405	21.310465	86.155761	23.5	80.544669
1050211.427	20.400692	23.572105	16.177015	0.346261	21.293193	86.153036	23.5	80.474874
1050211.826	20.286554	23.569314	16.196498	0.345664	21.246777	86.148991	23.5	80.467919
1050213.846	20.232076	23.568007	16.247488	0.356375	21.266032	86.155361	23.5	80.434201
1050214.115	20.342309	23.569784	16.247572	0.349967	21.325407	86.151325	23.5	80.42624
1050216.111	20.213509	23.491648	16.238631	0.353115	21.266032	86.157267	23.5	80.481209
1050216.589	20.248347	23.49355	16.227194	0.352128	21.311575	86.161609	23.5	80.481497
1050218.178	20.287463	23.499568	16.20705	0.349203	21.307873	86.163078	23.5	80.473607
1050219.817	20.35302	23.449185	16.181587	0.344696	21.14063	86.165449	23.5	80.532917
1050221.223	20.412311	23.468472	16.193434	0.349203	21.312447	86.159908	23.5	80.52752
1050221.496	20.261856	23.459394	16.193024	0.346391	21.251352	86.162948	23.5	80.540775
1050224.172	20.35895	23.497071	16.202067	0.343839	21.297505	86.166444	23.5	80.549496
1050226.201	20.356523	23.541444	16.20989	0.311857	21.347993	86.162902	23.5	80.489937
1050227.682	20.348	23.478773	16.211874	0.309306	21.296024	86.15895	23.5	80.548102
1050228.262	20.404326	23.456636	16.205969	0.315601	21.200251	86.163274	23.5	80.576312
1050228.727	20.451015	23.438012	16.18196	0.302134	21.27579	86.161247	23.5	80.603239
1050232.044	20.410793	23.459134	16.19688	0.315452	21.307634	86.155444	23.5	80.632972
1050233.135	20.383742	23.461925	16.173792	0.327504	21.269364	86.154273	23.5	80.646668
1050233.701	20.320004	23.468488	16.185173	0.32823	21.271108	86.155686	23.5	80.646416
1050236.422	20.383001	23.453317	16.171548	0.287922	21.382294	86.161786	23.5	80.707375
1050236.686	20.362417	23.470073	16.181429	0.288872	21.382294	86.161786	23.5	80.693746
1050238.009	20.398564	23.458447	16.16094	0.287587	21.285549	86.154914	23.5	80.723008
1050239.947	20.293321	23.417208	16.157941	0.26274	21.345771	86.15563	23.5	80.803681
1050241.802	20.49083	23.385985	16.184055	0.247224	21.280604	86.160335	23.5	80.901339
1050242.918	20.442995	23.393026	16.167403	0.239959	21.377852	86.154412	23.5	80.935943
1050243.19	20.356858	23.397292	16.147752	0.246125	21.306893	86.159043	23.5	80.941142
1050245.226	20.396306	23.418147	16.147427	0.235135	21.360211	86.152804	23.5	80.975981
1050245.768	20.349244	23.419387	16.1349	0.234967	21.300969	86.163655	23.5	80.988705
1050248.418	20.437437	23.37503	16.093093	0.21107	21.31615	86.157471	23.5	81.122538
1050248.952	20.331456	23.370328	16.08147	0.206711	21.243576	86.153966	23.5	81.150176
1050250.844	20.53007	23.377704	16.11944	0.217514	21.386128	86.156021	23.5	81.219054
1050251.277	20.426859	23.387963	16.123184	0.217663	21.340826	86.153036	23.5	81.225558
1050252.631	20.420762	23.353346	16.140106	0.217663	21.322445	86.15828	23.5	81.321964
1050254.333	20.433361	23.313297	16.139259	0.234688	21.310966	86.159461	23.5	81.452115
1050255.407	20.450203	23.328058	16.171725	0.225244	21.294543	86.156244	23.5	81.501996
1050255.839	20.510062	23.351427	16.192018	0.21839	21.349342	86.162028	23.5	81.50154
1050257.723	20.465025	23.364301	16.174137	0.215764	21.284677	86.148898	23.5	81.574138
1050257.993	20.336071	23.351485	16.172507	0.203601	21.197288	86.157099	23.5	81.601867
1050259.799	20.532461	23.310649	16.154756	0.229659	21.306153	86.161312	23.5	81.748884
1050262.553	20.442387	23.354042	16.167701	0.238302	21.299118	86.160577	23.5	81.86566
1050262.82	20.466675	23.349717	16.170346	0.228728	21.396865	86.160577	23.5	81.883255
1050265.328	20.447239	23.430929	16.215497	0.288425	21.203213	86.154626	23.5	81.877952
1050266.33	20.447036	23.451448	16.246789	0.306754	21.318001	86.151149	23.5	81.876718
1050267.592	20.407758	23.475806	16.268843	0.313217	21.344159	86.157518	23.5	81.865686
1050267.884	20.424062	23.486333	16.291623	0.319997	21.240852	86.1514	23.5	81.85729
1050269.757	20.417392	23.583639	16.272559	0.340449	21.263941	86.156346	23.5	81.731435
1050270.051	20.417225	23.588735	16.297751	0.337171	21.263941	86.156346	23.5	81.717975
1050271.182	20.565975	23.606454	16.279916	0.34844	21.269496	86.153427	23.5	81.66715
1050273.319	20.478161	23.702503	16.316545	0.362317	21.302689	86.157351	23.5	81.465542
1050275.481	20.466675	23.693844	16.325309	0.344361	21.283936	86.155305	23.5	81.333878
1050276.034	20.421301	23.696233	16.331689	0.352146	21.339106	86.15987	23.5	81.296342
1050278.683	20.530035	23.605834	16.349803	0.328379	21.287137	86.155537	23.5	81.256126
1050279.545	20.485943	23.586179	16.324983	0.312994	21.334532	86.162985	23.5	81.247312
1050281.278	20.492242	23.567495	16.357747	0.319625	21.255054	86.154849	23.5	81.218835
1050281.699	20.481294	23.569817	16.350362	0.322009	21.305651	86.154263	23.5	81.206676
1050282.878	20.518549	23.546591	16.34537	0.307164	21.389222	86.15258	23.5	81.205691
1050283.698	20.41756	23.530623	16.327684	0.307443	21.304911	86.155677	23.5	81.210712
1050286.301	20.381616	23.4978	16.325672	0.281087	21.322445	86.150191	23.5	81.23327
1050287.525	20.573923	23.469042	16.295116	0.294498	21.440553	86.150684	23.5	81.269463
1050287.819	20.339371	23.466359	16.295125	0.290884	21.267644	86.153027	23.5	81.275349
1050290.744	20.499247	23.459251	16.215134	0.240779	21.291473	86.148675	23.5	81.324661
1050291.03	20.417358	23.465647	16.236703	0.235787	21.353917	86.153929	23.5	81.321776
1050293.069	20.388622	23.464147	16.240475	0.238879	21.432408	86.156821	23.5	81.348149
1050293.609	20.482944	23.464214	16.196852	0.233719	21.250002	86.153659	23.5	81.3543
1050294.629	20.511845	23.417627	16.204507	0.211666	21.446978	86.157313	23.5	81.417093
1050297.092	20.402703	23.426671	16.189904	0.216937	21.315541	86.150423	23.5	81.474014
1050298.66	20.409003	23.444583	16.199432	0.219079	21.31578	86.163831	23.5	81.494249
1050299.256	20.430865	23.395138	16.214025	0.212448	21.2737	86.152785	23.5	81.5594
1050300.32	20.420287	23.416982	16.20786	0.207009	21.38872	86.15709	23.5	81.573897
1050302.15	20.565332	23.447173	16.179045	0.223959	21.518429	86.15935	23.5	81.57911
1050303.225	20.457139	23.435338	16.174705	0.211629	21.403291	86.158057	23.5	81.609934
1050304.487	20.473073	23.42098	16.184922	0.220923	21.295917	86.158699	23.5	81.650959
1050306.288	20.468088	23.42787	16.156973	0.202837	21.368118	86.155575	23.5	81.688734
1050307.179	20.549771	23.449042	16.147333	0.2009	21.397976	86.157313	23.5	81.688204
1050310.254	20.385252	23.37845	16.185965	0.223792	21.427726	86.155426	23.5	81.847432
