Time (sec)	Fluid Temperature (C)	Flowrate (GPM)	"Pressure Drop (large pipe, (""WC)"	"Pressure Drop (small pipe, (""WC))"	Ambient Temperature (C)	Ambient Pressure (kPa)	Flow Setpoint (GPM)	Control Output (%)
1053610.553	21.474004	3.137084	3.817926	0.35874	21.313324	86.137796	3	17.162974
1053611.865	21.441425	3.116942	3.777917	0.362149	21.353918	86.133091	3	17.12576
1053612.168	21.43402	3.117596	3.778587	0.362149	21.331332	86.130246	3	17.113066
1053614.067	21.474374	3.097438	3.735663	0.362968	21.346883	86.132822	3	17.064469
1053614.348	21.439024	3.104772	3.736017	0.367234	21.290973	86.133361	3	17.047543
1053615.487	21.478447	3.08598	3.714801	0.352817	21.409825	86.131892	3	17.031033
1053618.237	21.482149	3.086742	3.662237	0.362466	21.329245	86.136271	3	16.946674
1053618.499	21.547305	3.08779	3.66003	0.367234	21.426115	86.127745	3	16.937989
1053620.314	21.44828	3.086525	3.63115	0.369506	21.31504	86.128544	3	16.885312
1053621.877	21.398657	3.085175	3.616314	0.359243	21.284443	86.127001	3	16.840467
1053622.143	21.531386	3.086566	3.619964	0.363415	21.281716	86.128712	3	16.83141
1053624.837	21.504732	3.074807	3.586381	0.346261	21.293935	86.132645	3	16.760123
1053625.257	21.503991	3.082057	3.579592	0.345404	21.234689	86.129335	3	16.741774
1053626.385	21.552666	3.063759	3.574032	0.355704	21.262461	86.136011	3	16.732389
1053627.824	21.43402	3.076198	3.547293	0.342796	21.375627	86.126852	3	16.68917
1053628.315	21.532127	3.059912	3.542814	0.35345	21.281716	86.126778	3	16.691914
1053629.662	21.491953	3.044699	3.513253	0.349148	21.332443	86.124509	3	16.683958
1053631.358	21.405512	3.033341	3.51533	0.359225	21.332307	86.130692	3	16.672426
1053631.81	21.410695	3.02744	3.514958	0.361497	21.409319	86.134254	3	16.673651
1053633.322	21.424024	3.01413	3.496937	0.354885	21.36452	86.135909	3	16.676563
1053634.917	21.488621	3.028547	3.490706	0.347229	21.228259	86.133686	3	16.654146
1053635.8	21.463268	3.014507	3.495586	0.344379	21.380676	86.133017	3	16.663325
1053636.274	21.50306	3.014004	3.486571	0.343299	21.348464	86.125429	3	16.661608
1053637.948	21.508063	2.998959	3.482501	0.338791	21.362904	86.131724	3	16.670369
1053639.829	21.457893	2.993209	3.451879	0.316775	21.248996	86.133184	3	16.674469
1053640.097	21.436791	2.994315	3.451721	0.325175	21.248996	86.133184	3	16.673883
1053642.61	21.534156	2.972749	3.463409	0.312435	21.42682	86.132022	3	16.721735
1053642.926	21.469	2.977149	3.465365	0.296062	21.329581	86.133584	3	16.719692
1053644.346	21.385137	2.977325	3.472434	0.293473	21.27478	86.136141	3	16.733535
1053646.251	21.481038	2.957745	3.471186	0.283564	21.367582	86.127986	3	16.771605
1053646.529	21.394214	2.952221	3.485351	0.291536	21.367582	86.127986	3	16.781317
1053649.038	21.478255	2.937369	3.471465	0.246013	21.327964	86.129158	3	16.84979
1053650.539	21.474183	2.949455	3.473328	0.249366	21.260204	86.126517	3	16.865218
1053650.871	21.514906	2.948433	3.456834	0.242288	21.400904	86.128591	3	16.871821
1053652.705	21.385507	2.944082	3.450426	0.232546	21.391143	86.133314	3	16.906434
1053653.828	21.40458	2.941635	3.452131	0.231577	21.353377	86.126592	3	16.925832
1053654.165	21.57969	2.923555	3.459702	0.221184	21.457179	86.125848	3	16.95124
1053657.397	21.346069	2.949154	3.455064	0.234073	21.304873	86.131445	3	17.000373
1053658.612	21.401248	2.950411	3.462655	0.233123	21.379295	86.127773	3	17.022073
1053659.014	21.301829	2.95057	3.469025	0.226083	21.390772	86.131139	3	17.028423
1053659.924	21.384217	2.939866	3.487866	0.22802	21.403361	86.134309	3	17.052359
1053662.491	21.311456	2.918937	3.477854	0.213603	21.358056	86.127103	3	17.138778
1053662.787	21.369956	2.918878	3.492932	0.207829	21.375828	86.13192	3	17.146898
1053664.731	21.27831	2.927939	3.479884	0.210436	21.272894	86.129539	3	17.189448
1053665.042	21.320521	2.935751	3.46312	0.222655	21.374347	86.129539	3	17.188891
1053666.365	21.334412	2.934829	3.469798	0.226325	21.332508	86.132068	3	17.216973
1053668.34	21.404938	2.932339	3.47723	0.241636	21.268316	86.130441	3	17.259127
1053668.93	21.302378	2.930847	3.478143	0.246851	21.290668	86.130702	3	17.27488
1053670.793	21.322193	2.916791	3.474063	0.259517	21.323116	86.127996	3	17.337611
1053671.535	21.351444	2.923144	3.475572	0.249422	21.262391	86.132189	3	17.351783
1053674.406	21.276638	2.959623	3.485733	0.271233	21.351492	86.12675	3	17.373991
1053674.678	21.33311	2.971475	3.477146	0.274325	21.351492	86.12675	3	17.365309
1053676.128	21.448064	2.981851	3.503232	0.274642	21.334224	86.134086	3	17.364635
1053677.431	21.446404	3.011666	3.505104	0.292374	21.345332	86.125587	3	17.337743
1053678.077	21.420118	3.005312	3.51723	0.311653	21.46714	86.123765	3	17.342493
1053680.758	21.352734	3.028363	3.53798	0.32674	21.424295	86.132199	3	17.304164
1053681.208	21.42437	3.043215	3.544406	0.328621	21.369769	86.133584	3	17.28407
1053684.185	21.444923	3.043266	3.580113	0.344286	21.25411	86.127745	3	17.239629
1053684.469	21.422148	3.041774	3.576853	0.349762	21.372596	86.126926	3	17.237139
1053686.939	21.462873	3.06857	3.573715	0.356319	21.351862	86.124751	3	17.164029
1053687.221	21.641675	3.067355	3.572961	0.354121	21.44146	86.125457	3	17.158896
1053688.506	21.518035	3.069803	3.555983	0.360528	21.292485	86.125485	3	17.125786
1053689.888	21.558386	3.043433	3.557687	0.355555	21.322847	86.128172	3	17.125767
1053691.827	21.386605	3.072451	3.555917	0.350358	21.374312	86.124193	3	17.057606
1053692.099	21.546731	3.071378	3.553319	0.348049	21.422444	86.127503	3	17.052237
1053694.733	21.536365	2.999093	3.551447	0.35753	21.346779	86.123523	3	17.098846
1053695.279	21.520638	2.971726	3.533342	0.353432	21.329511	86.122631	3	17.129003
1053697.496	21.522119	2.954183	3.503288	0.356766	21.358257	86.124816	3	17.16828
1053697.937	21.558577	2.929288	3.499572	0.343727	21.331969	86.128349	3	17.201476
1053701.311	21.378663	2.955909	3.413034	0.327764	21.351592	86.127652	3	17.239926
1053702.671	21.409764	2.97067	3.387255	0.334079	21.326415	86.124388	3	17.244682
1053702.945	21.461596	2.956546	3.395488	0.33555	21.353444	86.126973	3	17.261959
1053704.091	21.452149	2.969739	3.377252	0.334079	21.324193	86.125485	3	17.262011
1053705.61	21.399576	2.957217	3.371311	0.335383	21.434897	86.126964	3	17.289725
1053706.272	21.548033	2.972212	3.365425	0.332775	21.341966	86.128758	3	17.282518
1053708.893	21.419199	2.974056	3.385709	0.329906	21.442772	86.128628	3	17.311543
1053709.144	21.450298	2.974291	3.393467	0.322232	21.442772	86.128628	3	17.313407
1053710.336	21.558398	2.971223	3.398673	0.331341	21.428468	86.127977	3	17.327158
1053712.032	21.436791	2.974106	3.379059	0.318507	21.404908	86.125234	3	17.340637
1053712.357	21.538969	2.963813	3.390906	0.323965	21.324799	86.126248	3	17.354067
1053714.83	21.377182	2.971483	3.381341	0.310162	21.397739	86.129019	3	17.377515
1053715.491	21.4516	2.957577	3.383995	0.314167	21.411437	86.128712	3	17.399437
1053717.675	21.528603	2.956588	3.389006	0.3148	21.403157	86.123077	3	17.422163
1053718.057	21.490843	2.962154	3.390421	0.316477	21.357617	86.124779	3	17.422425
1053719.963	21.431607	2.964618	3.405378	0.310796	21.419212	86.129437	3	17.444491
1053721.533	21.374961	2.965725	3.401122	0.315993	21.468688	86.13006	3	17.464266
1053721.823	21.384958	2.948785	3.391697	0.315788	21.407735	86.123412	3	17.476834
1053723.545	21.369777	2.959975	3.394398	0.311429	21.376635	86.132245	3	17.496196
1053724.422	21.509723	2.971366	3.385597	0.315452	21.424025	86.13085	3	17.493494
1053726.098	21.417168	2.972933	3.378463	0.308505	21.402417	86.125355	3	17.504821
1053727.348	21.620039	2.961643	3.390682	0.312752	21.421939	86.126034	3	17.528292
