Time (sec)	Fluid Temperature (C)	Flowrate (GPM)	"Pressure Drop (large pipe, (""WC)"	"Pressure Drop (small pipe, (""WC))"	Ambient Temperature (C)	Ambient Pressure (kPa)	Flow Setpoint (GPM)	Control Output (%)
1051000.354	21.118944	5.061083	-0.073382	22.517959	21.3728	86.147401	5	24.838972
1051001.147	21.066925	5.066389	-0.072292	22.494024	21.376368	86.141962	5	24.815759
1051005.48	21.014136	5.072558	-0.090229	22.425907	21.405887	86.146286	5	24.705562
1051005.8	21.028951	5.070286	-0.087892	22.411565	21.497332	86.145263	5	24.700281
1051007.535	21.08248	5.033331	-0.082192	22.365502	21.354929	86.146602	5	24.71156
1051007.796	21.11544	5.03375	-0.081819	22.363918	21.480068	86.148387	5	24.707996
1051009.979	20.985988	5.02173	-0.091254	22.36647	21.494136	86.145263	5	24.705358
1051011.6	21.084331	5.018805	-0.09253	22.371201	21.411071	86.138903	5	24.70244
1051011.94	20.997298	5.006575	-0.094653	22.376063	21.444897	86.144091	5	24.713263
1051013.385	20.998211	5.016248	-0.082034	22.378279	21.464383	86.147364	5	24.695321
1051015.184	20.9569	5.063966	-0.070988	22.371686	21.485486	86.146025	5	24.628639
1051015.44	20.991345	5.061452	-0.066005	22.360137	21.485486	86.146025	5	24.625456
1051017.829	21.087665	5.091015	-0.059132	22.390591	21.482894	86.147448	5	24.538337
1051018.7	21.031742	5.103194	-0.047696	22.382358	21.488817	86.147048	5	24.498141
1051019.034	21.147658	5.101945	-0.046587	22.388244	21.400099	86.145439	5	24.488105
1051021.751	21.015618	5.117761	-0.025688	22.33298	21.46711	86.144956	5	24.372439
1051022.724	21.065074	5.109631	-0.02146	22.300328	21.388991	86.14503	5	24.340576
1051023.348	21.124328	5.10632	-0.018229	22.263894	21.43416	86.1461	5	24.322891
1051025.256	21.176001	5.109606	0.001022	22.1575	21.381587	86.139925	5	24.250807
1051026.332	21.034903	5.08379	0.011807	22.148187	21.510425	86.147308	5	24.242582
1051027.875	21.078036	5.0468	0.016463	22.082528	21.396396	86.145477	5	24.247877
1051028.385	21.148597	5.043079	0.015085	22.05321	21.514867	86.139879	5	24.244202
1051030.893	21.098034	5.057839	-0.013563	22.013517	21.469937	86.147225	5	24.191896
1051031.197	21.078036	5.044034	-0.015155	21.979394	21.425139	86.149354	5	24.200776
1051032.053	21.110996	5.042383	-0.032627	21.987236	21.452906	86.146825	5	24.190439
1051034.568	21.109144	5.010766	-0.041037	21.939179	21.564843	86.147764	5	24.19783
1051035.406	21.072481	5.000063	-0.033158	21.929121	21.455868	86.140056	5	24.206993
1051036.221	21.13971	4.990365	-0.03069	21.904683	21.454758	86.147048	5	24.218507
1051039.452	21.125809	4.985671	-0.024012	21.879575	21.530786	86.147494	5	24.23616
1051039.7	21.084901	4.989728	-0.025968	21.877228	21.530786	86.147494	5	24.233223
1051041.745	21.159508	4.982	-0.041791	21.815947	21.508809	86.145012	5	24.249892
1051042.317	21.098973	4.972662	-0.047956	21.846885	21.451426	86.147401	5	24.263656
1051044.15	21.243937	4.956527	-0.064879	21.793539	21.514732	86.146509	5	24.304639
1051044.916	21.102848	4.954834	-0.071472	21.799909	21.475625	86.146248	5	24.318138
1051045.834	21.089887	4.949436	-0.073009	21.782363	21.521531	86.146555	5	24.337113
1051047.479	21.14988	4.959201	-0.082462	21.755131	21.436617	86.141915	5	24.349771
1051049.325	21.173011	4.962495	-0.093368	21.785139	21.377008	86.143171	5	24.369047
1051049.776	21.240036	4.962068	-0.093694	21.794321	21.491039	86.146509	5	24.375255
1051050.63	21.048408	4.95594	-0.092436	21.79814	21.462027	86.143821	5	24.393078
1051053.173	21.098206	4.958522	-0.105978	21.800729	21.501405	86.144733	5	24.428902
1051053.431	21.196368	4.959377	-0.101899	21.85767	21.479797	86.147364	5	24.431632
1051056	21.01952	4.93947	-0.106537	21.844333	21.444021	86.140865	5	24.507686
1051056.305	21.067296	4.938447	-0.1054	21.83489	21.562722	86.139786	5	24.514839
1051058.059	21.135609	4.934541	-0.105782	21.833493	21.374281	86.139749	5	24.556414
1051060.382	21.113588	4.936863	-0.10486	21.878792	21.537549	86.144537	5	24.597788
1051060.838	21.10265	4.925749	-0.10174	21.879835	21.513486	86.148192	5	24.620262
1051063.289	21.083022	4.92134	-0.119342	21.890788	21.540511	86.14331	5	24.688312
1051064.6	21.09154	4.927442	-0.120646	21.883356	21.492619	86.147587	5	24.715887
1051065.85	21.063023	4.968823	-0.112842	21.950057	21.544953	86.145663	5	24.69398
1051066.131	21.130226	4.956209	-0.117666	21.928208	21.51113	86.146695	5	24.71013
1051068.913	21.050233	4.926696	-0.116353	21.987291	21.4419	86.140595	5	24.79774
1051070.65	20.993197	4.953602	-0.110774	22.017261	21.489658	86.143394	5	24.809485
1051070.924	21.020406	4.953091	-0.110504	22.054086	21.620705	86.14384	5	24.815895
1051072.204	21.103192	4.987381	-0.105102	22.075171	21.466199	86.143617	5	24.794499
1051074.364	20.935788	5.030799	-0.088944	22.136638	21.488917	86.141553	5	24.742075
1051075.493	21.000406	5.062835	-0.074928	22.17214	21.563327	86.145253	5	24.690478
1051075.765	21.011887	5.074553	-0.07707	22.146976	21.563327	86.145253	5	24.672477
1051077.591	21.053738	5.07555	-0.062429	22.176834	21.499148	86.146732	5	24.629983
1051078.833	20.991147	5.115113	-0.056469	22.1754	21.452366	86.135565	5	24.554328
1051080.515	21.03354	5.122338	-0.04628	22.157146	21.554543	86.138215	5	24.482113
1051080.786	21.021517	5.133125	-0.04615	22.189947	21.554543	86.138215	5	24.459658
1051082.956	21.110572	5.106312	-0.037991	22.130976	21.519509	86.143254	5	24.402292
1051084.465	21.061859	5.072591	-0.036585	22.080405	21.438162	86.145663	5	24.390957
1051084.908	21.005565	5.055534	-0.033456	22.07139	21.477911	86.135741	5	24.398372
1051085.606	21.066303	5.038745	-0.036091	22.012605	21.45038	86.139349	5	24.404379
1051088.041	21.014083	5.027899	-0.037712	21.930537	21.412381	86.146955	5	24.393044
1051088.314	21.091685	5.028259	-0.036138	21.918783	21.438533	86.141162	5	24.390125
1051090.379	21.010578	5.01463	-0.035728	21.892781	21.41817	86.145625	5	24.388402
1051090.705	21.039638	5.016055	-0.031351	21.867952	21.41817	86.145625	5	24.385242
1051093.007	20.993885	5.009551	-0.027858	21.845116	21.604753	86.147792	5	24.382323
1051093.28	21.107583	5.007824	-0.027197	21.803486	21.489488	86.143933	5	24.383265
1051095.727	21.024255	5.003231	-0.019681	21.78024	21.556629	86.141701	5	24.385098
1051095.999	21.16165	5.0079	-0.022671	21.773199	21.500729	86.152357	5	24.379887
1051097.547	21.106273	5.013382	-0.01848	21.762545	21.494301	86.149707	5	24.369799
1051098.904	21.028871	5.00743	-0.012948	21.792049	21.428772	86.144761	5	24.371622
1051099.984	21.138492	4.997573	-0.013702	21.758391	21.432104	86.140195	5	24.381517
1051100.512	21.097015	4.988563	-0.010648	21.770237	21.42544	86.146155	5	24.391728
1051102.295	21.064425	4.992125	-0.020389	21.749376	21.521696	86.149456	5	24.391317
1051103.954	21.004229	5.005385	-0.038559	21.77007	21.503556	86.149224	5	24.37643
1051104.986	21.199396	5.006257	-0.040618	21.771038	21.499113	86.142408	5	24.375793
1051105.406	21.067189	5.004312	-0.044101	21.764202	21.55821	86.141608	5	24.376945
1051107.044	21.221786	5.016634	-0.047211	21.750903	21.553398	86.147094	5	24.361175
1051109.379	21.133109	5.011085	-0.027523	21.691913	21.473064	86.146425	5	24.362518
1051110.672	21.118098	5.009643	-0.01509	21.715215	21.508369	86.147448	5	24.365022
1051110.94	21.081805	5.01282	-0.018834	21.694539	21.45802	86.146732	5	24.360861
1051112.525	21.111062	4.977272	-0.024692	21.706162	21.35644	86.146202	5	24.396287
1051114.483	21.043091	4.991756	-0.052576	21.681389	21.438498	86.14477	5	24.390384
1051114.83	21.159746	4.988663	-0.05225	21.673678	21.523412	86.146155	5	24.394461
1051117.214	21.134564	4.972151	-0.069991	21.713855	21.411236	86.139302	5	24.431455
1051118.354	21.072546	4.947885	-0.066434	21.688151	21.450985	86.142306	5	24.472742
1051119.017	21.088643	4.956804	-0.078448	21.678018	21.423959	86.143477	5	24.474541
1051121.113	21.143823	4.977205	-0.064087	21.694372	21.430623	86.13894	5	24.471653
1051121.467	21.01956	4.973115	-0.066061	21.692751	21.487872	86.146332	5	24.479232
1051123.222	21.166042	4.95097	-0.07557	21.680775	21.406053	86.14357	5	24.522978
1051123.594	21.047905	4.960458	-0.07394	21.671592	21.465424	86.147225	5	24.518945
1051125.563	21.077335	4.960911	-0.086066	21.672747	21.497498	86.1461	5	24.541909
1051126.055	21.071039	4.955932	-0.089363	21.639498	21.478752	86.14821	5	24.553561
1051128.106	21.105851	4.939906	-0.081	21.663675	21.468386	86.14106	5	24.606263
1051128.494	21.109554	4.939336	-0.083738	21.672449	21.452331	86.145932	5	24.615234
1051130.392	21.062693	4.952529	-0.091878	21.667904	21.455529	86.146286	5	24.637159
