Time (sec)	Fluid Temperature (C)	Flowrate (GPM)	"Pressure Drop (large pipe, (""WC)"	"Pressure Drop (small pipe, (""WC))"	Ambient Temperature (C)	Ambient Pressure (kPa)	Flow Setpoint (GPM)	Control Output (%)
446952.6161	24.588091	16.744769	-0.080813	39.517092	21.532474	85.814261	16.75	68.914489
446953.187	24.562986	16.776469	-0.076259	39.521637	21.465096	85.815674	16.75	68.881238
446954.968	24.56114	16.8177	-0.057717	39.560138	21.436589	85.815423	16.75	68.811814
446955.635	24.596951	16.804515	-0.053973	39.591002	21.347361	85.811183	16.75	68.80994
446956.7411	24.62907	16.859383	-0.048925	39.586606	21.428309	85.808905	16.75	68.724157
446958.708	24.51942	16.835578	-0.023435	39.55088	21.426828	85.809221	16.75	68.679536
446958.9934	24.582553	16.838143	-0.031574	39.579397	21.460148	85.812132	16.75	68.668755
446960.8491	24.573885	16.858444	-0.034303	39.534154	21.459272	85.807287	16.75	68.592343
446961.0911	24.550064	16.856189	-0.039751	39.54207	21.396098	85.804572	16.75	68.585924
446961.8524	24.531973	16.83925	-0.046215	39.561199	21.406094	85.80791	16.75	68.576742
446964.436	24.610434	16.801782	-0.017614	39.547621	21.427062	85.813154	16.75	68.593489
446964.708	24.497091	16.818731	-0.016375	39.556375	21.479264	85.813154	16.75	68.571014
446967.2412	24.482322	16.786259	-0.021358	39.528193	21.371156	85.809974	16.75	68.560836
446967.782	24.556533	16.772756	-0.022606	39.52797	21.362776	85.816056	16.75	68.569151
446969.4141	24.510383	16.74103	-0.02824	39.533092	21.497169	85.810477	16.75	68.59439
446970.367	24.549887	16.796829	-0.041717	39.535439	21.448906	85.809296	16.75	68.530926
446971.8181	24.502998	16.723487	-0.063118	39.534452	21.421509	85.806413	16.75	68.59744
446974.115	24.701072	16.713948	-0.052622	39.501502	21.522948	85.814642	16.75	68.636865
446974.7371	24.544542	16.711409	-0.062764	39.446479	21.444228	85.812364	16.75	68.64734
446977.2581	24.644784	16.700127	-0.091449	39.498894	21.441131	85.805548	16.75	68.674865
446977.5206	24.558203	16.687847	-0.086904	39.497497	21.474686	85.807241	16.75	68.691984
446978.3132	24.563002	16.665996	-0.091235	39.458475	21.389533	85.814921	16.75	68.733279
446981.134	24.615988	16.695802	-0.095603	39.456724	21.488889	85.813852	16.75	68.764305
446981.399	24.652167	16.686406	-0.093573	39.456407	21.368799	85.814559	16.75	68.778877
446983.4983	24.616165	16.743386	-0.11422	39.419433	21.333625	85.803679	16.75	68.741398
446984.5211	24.659919	16.704276	-0.126644	39.436309	21.513928	85.80712	16.75	68.791488
446986.5023	24.677093	16.66323	-0.143296	39.424388	21.447795	85.810337	16.75	68.881354
446986.9481	24.753137	16.671913	-0.147245	39.386167	21.471724	85.813545	16.75	68.88444
446988.7652	24.566694	16.663607	-0.151408	39.408556	21.479264	85.805781	16.75	68.941875
446990.131	24.767533	16.666498	-0.17741	39.440649	21.492591	85.808319	16.75	68.974639
446990.6862	24.70478	16.650866	-0.172754	39.409971	21.45715	85.807613	16.75	69.007412
446992.732	24.574094	16.61992	-0.164036	39.43873	21.460247	85.813461	16.75	69.117445
446993.812	24.586647	16.624564	-0.148083	39.440183	21.435072	85.811862	16.75	69.158324
446994.256	24.518169	16.660078	-0.136777	39.416118	21.582549	85.811816	16.75	69.13811
446995.9611	24.498408	16.696749	-0.138528	39.46518	21.399529	85.815637	16.75	69.134426
446997.612	24.510046	16.681946	-0.11504	39.474232	21.366343	85.812215	16.75	69.183506
446997.883	24.636309	16.675677	-0.103519	39.526629	21.366343	85.812215	16.75	69.196413
447001.201	24.649054	16.664051	-0.108567	39.528231	21.423595	85.814559	16.75	69.302715
447002.077	24.568204	16.667957	-0.106807	39.523201	21.490975	85.809612	16.75	69.322972
447003.1061	24.686884	16.683497	-0.109787	39.540952	21.41582	85.816223	16.75	69.3328
447005.024	24.612699	16.653205	-0.087258	39.547956	21.408045	85.814698	16.75	69.414722
447005.298	24.559713	16.651084	-0.083384	39.544864	21.450621	85.813406	16.75	69.42418
447006.5037	24.641671	16.695039	-0.078075	39.575057	21.436183	85.814363	16.75	69.408971
447007.4792	24.551221	16.711878	-0.060958	39.579379	21.444698	85.809928	16.75	69.40604
447010.07	24.516516	16.721609	-0.04479	39.62954	21.460247	85.81334	16.75	69.420614
447010.502	24.618237	16.725968	-0.050266	39.625647	21.457656	85.81003	16.75	69.420288
447014.035	24.590372	16.719606	-0.039686	39.573623	21.405823	85.811016	16.75	69.451262
447014.319	24.565637	16.721517	-0.036175	39.570643	21.406194	85.814363	16.75	69.452044
